"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.71    ,  0.27  
MgO     ,  7.02    ,  0.25  
Al2O3   ,  8.77    ,  0.29  
SiO2    , 45.75    ,  0.64  
P2O5    ,  0.64    ,  0.09  
SO3     ,  4.75    ,  0.20  
Cl      ,  1.10    ,  0.06  
K2O     ,  0.87    ,  0.04  
CaO     ,  4.51    ,  0.10  
TiO2    ,  0.94    ,  0.10  
Cr2O3   ,  0.44    ,  0.05  
MnO     ,  0.22    ,  0.04  
FeO     , 21.87    ,  0.26  
Ni      ,  0.0723  ,  0.0070
Zn      ,  0.0756  ,  0.0045
Br      ,  0.0513  ,  0.0025
