"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.24    ,  0.20  
MgO     ,  5.00    ,  0.25  
Al2O3   ,  8.41    ,  0.29  
SiO2    , 47.33    ,  0.64  
P2O5    ,  0.90    ,  0.07  
SO3     ,  6.60    ,  0.17  
Cl      ,  1.14    ,  0.05  
K2O     ,  0.80    ,  0.04  
CaO     ,  4.15    ,  0.07  
TiO2    ,  1.15    ,  0.05  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.15    ,  0.03  
FeO     , 21.46    ,  0.26  
Ni      ,  0.0945  ,  0.0055
Zn      ,  0.1510  ,  0.0050
Br      ,  0.0171  ,  0.0015
