"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  7.87    ,  0.27  
MgO     ,  7.29    ,  0.25  
Al2O3   ,  7.88    ,  0.29  
SiO2    , 38.50    ,  0.64  
P2O5    ,  0.94    ,  0.09  
SO3     ,  5.80    ,  0.22  
Cl      , 12.28    ,  0.21  
K2O     ,  0.64    ,  0.04  
CaO     ,  4.44    ,  0.10  
TiO2    ,  0.63    ,  0.07  
Cr2O3   ,  0.25    ,  0.05  
MnO     ,  0.23    ,  0.03  
FeO     , 12.65    ,  0.20  
Ni      ,  0.0500  ,  0.0055
Zn      ,  0.0422  ,  0.0035
Br      ,  0.0277  ,  0.0020
