"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.53    ,  0.14  
MgO     ,  8.80    ,  0.25  
Al2O3   ,  8.62    ,  0.19  
SiO2    , 42.98    ,  0.54  
P2O5    ,  0.95    ,  0.07  
SO3     ,  5.52    ,  0.10  
Cl      ,  0.69    ,  0.03  
K2O     ,  0.49    ,  0.02  
CaO     ,  7.18    ,  0.08  
TiO2    ,  1.04    ,  0.03  
Cr2O3   ,  0.33    ,  0.03  
MnO     ,  0.37    ,  0.03  
FeO     , 20.32    ,  0.26  
Ni      ,  0.0980  ,  0.0050
Zn      ,  0.0222  ,  0.0015
Br      ,  0.0051  ,  0.0005
