"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.14  
MgO     ,  6.56    ,  0.17  
Al2O3   ,  8.49    ,  0.19  
SiO2    , 47.34    ,  0.54  
P2O5    ,  0.99    ,  0.07  
SO3     ,  4.27    ,  0.10  
Cl      ,  1.30    ,  0.04  
K2O     ,  0.91    ,  0.04  
CaO     ,  3.30    ,  0.06  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.35    ,  0.03  
MnO     ,  0.24    ,  0.03  
FeO     , 22.15    ,  0.26  
Ni      ,  0.0680  ,  0.0035
Zn      ,  0.2404  ,  0.0075
Br      ,  0.1170  ,  0.0040
