"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.37    ,  0.20  
MgO     ,  6.70    ,  0.25  
Al2O3   ,  8.30    ,  0.19  
SiO2    , 47.22    ,  0.64  
P2O5    ,  0.83    ,  0.07  
SO3     ,  4.35    ,  0.15  
Cl      ,  1.45    ,  0.06  
K2O     ,  0.94    ,  0.04  
CaO     ,  3.46    ,  0.07  
TiO2    ,  1.10    ,  0.09  
Cr2O3   ,  0.40    ,  0.03  
MnO     ,  0.22    ,  0.03  
FeO     , 22.13    ,  0.26  
Ni      ,  0.0811  ,  0.0060
Zn      ,  0.2160  ,  0.0065
Br      ,  0.1185  ,  0.0040
