"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  8.94    ,  0.34  
MgO     ,  6.69    ,  0.25  
Al2O3   ,  6.26    ,  0.29  
SiO2    , 30.80    ,  0.54  
P2O5    ,  1.03    ,  0.09  
SO3     ,  7.33    ,  0.22  
Cl      , 14.78    ,  0.24  
K2O     ,  0.53    ,  0.04  
CaO     ,  4.38    ,  0.10  
TiO2    ,  0.64    ,  0.05  
Cr2O3   ,  0.18    ,  0.05  
MnO     ,  0.20    ,  0.04  
FeO     , 18.02    ,  0.20  
Ni      ,  0.0492  ,  0.0055
Zn      ,  0.1094  ,  0.0050
Br      ,  0.0285  ,  0.0020
