"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  3.54    ,  0.20  
MgO     ,  3.99    ,  0.25  
Al2O3   , 10.38    ,  0.57  
SiO2    , 46.04    ,  0.96  
P2O5    ,  0.96    ,  0.11  
SO3     ,  3.99    ,  0.20  
Cl      ,  0.79    ,  0.04  
K2O     ,  1.96    ,  0.11  
CaO     ,  6.17    ,  0.32  
TiO2    ,  1.29    ,  0.07  
Cr2O3   ,  0.16    ,  0.03  
MnO     ,  0.46    ,  0.05  
FeO     , 20.01    ,  0.45  
Ni      ,  0.0266  ,  0.0025
Zn      ,  0.0733  ,  0.0040
Br      ,  0.0061  ,  0.0010
