"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.44    ,  0.14  
MgO     , 10.54    ,  0.25  
Al2O3   ,  8.76    ,  0.19  
SiO2    , 42.86    ,  0.54  
P2O5    ,  0.78    ,  0.05  
SO3     ,  3.36    ,  0.10  
Cl      ,  0.59    ,  0.03  
K2O     ,  0.44    ,  0.02  
CaO     ,  6.76    ,  0.07  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.46    ,  0.03  
MnO     ,  0.43    ,  0.03  
FeO     , 21.46    ,  0.26  
Ni      ,  0.0805  ,  0.0045
Zn      ,  0.0445  ,  0.0020
Br      ,  0.0083  ,  0.0010
