"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.21    ,  0.07  
MgO     ,  6.08    ,  0.17  
Al2O3   ,  7.28    ,  0.19  
SiO2    , 39.28    ,  0.43  
P2O5    ,  1.14    ,  0.07  
SO3     , 13.48    ,  0.15  
Cl      ,  0.85    ,  0.02  
K2O     ,  0.71    ,  0.02  
CaO     ,  6.78    ,  0.07  
TiO2    ,  1.03    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.21    ,  0.01  
FeO     , 20.42    ,  0.26  
Ni      ,  0.0771  ,  0.0040
Zn      ,  0.0677  ,  0.0025
Br      ,  0.0123  ,  0.0005
