"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.45    ,  0.20  
MgO     ,  8.43    ,  0.25  
Al2O3   ,  8.84    ,  0.29  
SiO2    , 46.39    ,  0.54  
P2O5    ,  1.56    ,  0.09  
SO3     ,  6.20    ,  0.15  
Cl      ,  1.39    ,  0.04  
K2O     ,  0.88    ,  0.04  
CaO     ,  3.55    ,  0.06  
TiO2    ,  1.13    ,  0.05  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.74    ,  0.03  
FeO     , 17.71    ,  0.20  
Ni      ,  0.0724  ,  0.0040
Zn      ,  0.2104  ,  0.0065
Br      ,  0.0430  ,  0.0015
