"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.68    ,  0.14  
MgO     ,  4.58    ,  0.17  
Al2O3   , 10.02    ,  0.29  
SiO2    , 52.38    ,  0.54  
P2O5    ,  0.78    ,  0.05  
SO3     ,  4.86    ,  0.08  
Cl      ,  0.99    ,  0.02  
K2O     ,  0.92    ,  0.04  
CaO     ,  4.19    ,  0.04  
TiO2    ,  0.96    ,  0.03  
Cr2O3   ,  0.29    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     , 16.97    ,  0.20  
Ni      ,  0.0963  ,  0.0050
Zn      ,  0.0707  ,  0.0025
Br      ,  0.0092  ,  0.0005
