"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.22    ,  0.20  
MgO     ,  7.22    ,  0.41  
Al2O3   ,  9.16    ,  0.47  
SiO2    , 45.74    ,  0.96  
P2O5    ,  0.74    ,  0.09  
SO3     ,  2.93    ,  0.15  
Cl      ,  0.98    ,  0.05  
K2O     ,  0.61    ,  0.04  
CaO     ,  6.55    ,  0.34  
TiO2    ,  1.49    ,  0.08  
Cr2O3   ,  0.43    ,  0.03  
MnO     ,  0.31    ,  0.04  
FeO     , 21.38    ,  0.45  
Ni      ,  0.0231  ,  0.0025
Zn      ,  0.0487  ,  0.0025
Br      ,  0.0070  ,  0.0010
