"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.63    ,  0.14  
MgO     ,  6.95    ,  0.17  
Al2O3   ,  6.79    ,  0.19  
SiO2    , 33.07    ,  0.43  
P2O5    ,  1.10    ,  0.07  
SO3     ,  4.15    ,  0.10  
Cl      ,  1.80    ,  0.04  
K2O     ,  0.47    ,  0.02  
CaO     ,  3.13    ,  0.04  
TiO2    ,  0.82    ,  0.03  
Cr2O3   ,  0.26    ,  0.03  
MnO     ,  0.39    ,  0.03  
FeO     , 38.14    ,  0.39  
Ni      ,  0.0550  ,  0.0035
Zn      ,  0.1391  ,  0.0045
Br      ,  0.0479  ,  0.0015
