"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.22    ,  0.14  
MgO     ,  8.74    ,  0.25  
Al2O3   ,  9.16    ,  0.19  
SiO2    , 44.42    ,  0.54  
P2O5    ,  0.90    ,  0.05  
SO3     ,  3.23    ,  0.05  
Cl      ,  0.74    ,  0.02  
K2O     ,  1.21    ,  0.05  
CaO     ,  7.25    ,  0.08  
TiO2    ,  0.77    ,  0.03  
Cr2O3   ,  0.63    ,  0.01  
MnO     ,  0.48    ,  0.01  
FeO     , 19.13    ,  0.20  
Ni      ,  0.0293  ,  0.0015
Zn      ,  0.0373  ,  0.0015
Br      ,  0.0057  ,  0.0005
