"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  5.95    ,  0.17  
Al2O3   ,  8.67    ,  0.19  
SiO2    , 45.48    ,  0.54  
P2O5    ,  0.86    ,  0.05  
SO3     , 10.22    ,  0.15  
Cl      ,  0.72    ,  0.03  
K2O     ,  0.73    ,  0.02  
CaO     ,  6.37    ,  0.07  
TiO2    ,  0.86    ,  0.05  
Cr2O3   ,  0.27    ,  0.03  
MnO     ,  0.25    ,  0.01  
FeO     , 16.69    ,  0.20  
Ni      ,  0.0772  ,  0.0040
Zn      ,  0.1332  ,  0.0040
Br      ,  0.0178  ,  0.0010
