"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.20  
MgO     ,  5.85    ,  0.25  
Al2O3   ,  8.85    ,  0.29  
SiO2    , 47.61    ,  0.75  
P2O5    ,  1.02    ,  0.07  
SO3     ,  5.90    ,  0.20  
Cl      ,  1.52    ,  0.06  
K2O     ,  1.08    ,  0.05  
CaO     ,  3.60    ,  0.08  
TiO2    ,  1.10    ,  0.09  
Cr2O3   ,  0.30    ,  0.05  
MnO     ,  0.32    ,  0.03  
FeO     , 19.95    ,  0.26  
Ni      ,  0.0991  ,  0.0065
Zn      ,  0.2090  ,  0.0065
Br      ,  0.0443  ,  0.0020
