"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.36    ,  0.14  
MgO     ,  7.44    ,  0.17  
Al2O3   ,  9.09    ,  0.19  
SiO2    , 45.49    ,  0.54  
P2O5    ,  1.13    ,  0.07  
SO3     ,  2.66    ,  0.05  
Cl      ,  0.66    ,  0.02  
K2O     ,  2.28    ,  0.07  
CaO     ,  7.05    ,  0.08  
TiO2    ,  1.01    ,  0.03  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.43    ,  0.01  
FeO     , 18.72    ,  0.20  
Ni      ,  0.0889  ,  0.0045
Zn      ,  0.1876  ,  0.0060
Br      ,  0.0038  ,  0.0005
