"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.55    ,  0.20  
MgO     ,  6.20    ,  0.25  
Al2O3   ,  9.77    ,  0.29  
SiO2    , 48.65    ,  0.75  
P2O5    ,  1.07    ,  0.07  
SO3     ,  7.64    ,  0.20  
Cl      ,  0.60    ,  0.04  
K2O     ,  0.70    ,  0.04  
CaO     ,  4.35    ,  0.08  
TiO2    ,  1.06    ,  0.05  
Cr2O3   ,  0.37    ,  0.03  
MnO     ,  0.34    ,  0.03  
FeO     , 16.19    ,  0.20  
Ni      ,  0.2056  ,  0.0105
Zn      ,  0.2169  ,  0.0070
Br      ,  0.0063  ,  0.0010
