"Target: Morrison_DRT_raster1, Contains DAT files: APB_466227063ESC07740421020_______M1.DAT"
  484.3  ,     968
  508.7  ,       0
  533.1  ,       0
  557.5  ,       0
  581.9  ,       0
  606.4  ,     116
  630.8  ,       0
  655.2  ,      81
  679.6  ,     268
  704.0  ,     283
  728.4  ,     265
  752.8  ,     245
  777.2  ,     271
  801.6  ,     220
  826.1  ,     259
  850.5  ,     264
  874.9  ,     246
  899.3  ,     280
  923.7  ,     321
  948.1  ,     399
  972.5  ,     581
  996.9  ,     891
 1021.3  ,    1087
 1045.8  ,    1034
 1070.2  ,     743
 1094.6  ,     515
 1119.0  ,     526
 1143.4  ,     552
 1167.8  ,     940
 1192.2  ,    1729
 1216.6  ,    2692
 1241.0  ,    3010
 1265.5  ,    2797
 1289.9  ,    1865
 1314.3  ,    1084
 1338.7  ,     739
 1363.1  ,     755
 1387.5  ,    1098
 1411.9  ,    2302
 1436.3  ,    4037
 1460.7  ,    5363
 1485.1  ,    5665
 1509.6  ,    4359
 1534.0  ,    2670
 1558.4  ,    1508
 1582.8  ,    1202
 1607.2  ,    1437
 1631.6  ,    2801
 1656.0  ,    6190
 1680.4  ,   12357
 1704.8  ,   18432
 1729.3  ,   21376
 1753.7  ,   17775
 1778.1  ,   11594
 1802.5  ,    5833
 1826.9  ,    2633
 1851.3  ,    1267
 1875.7  ,     806
 1900.1  ,     491
 1924.5  ,     401
 1949.0  ,     372
 1973.4  ,     386
 1997.8  ,     411
 2022.2  ,     401
 2046.6  ,     342
 2071.0  ,     242
 2095.4  ,     197
 2119.8  ,     190
 2144.2  ,     182
 2168.7  ,     246
 2193.1  ,     346
 2217.5  ,     590
 2241.9  ,    1097
 2266.3  ,    1676
 2290.7  ,    1999
 2315.1  ,    1939
 2339.5  ,    1396
 2363.9  ,     793
 2388.4  ,     425
 2412.8  ,     247
 2437.2  ,     218
 2461.6  ,     191
 2486.0  ,     164
 2510.4  ,     198
 2534.8  ,     158
 2559.2  ,     208
 2583.6  ,     240
 2608.1  ,     245
 2632.5  ,     230
 2656.9  ,     182
 2681.3  ,     132
 2705.7  ,      75
 2730.1  ,      60
 2754.5  ,      50
 2778.9  ,      45
 2803.3  ,      47
 2827.8  ,      55
 2852.2  ,      51
 2876.6  ,      57
 2901.0  ,      56
 2925.4  ,      63
 2949.8  ,      66
 2974.2  ,      50
 2998.6  ,      45
 3023.0  ,      43
 3047.4  ,      30
 3071.9  ,      43
 3096.3  ,      46
 3120.7  ,      32
 3145.1  ,      43
