"Target: Morrison_DRT_raster4, Contains DAT files: APB_466230825ESC07740421020_______M1.DAT"
  485.3  ,     900
  509.7  ,       0
  534.1  ,       0
  558.5  ,       0
  582.9  ,       0
  607.3  ,     116
  631.7  ,       0
  656.1  ,      26
  680.5  ,     259
  704.9  ,     258
  729.3  ,     243
  753.7  ,     240
  778.1  ,     232
  802.5  ,     269
  826.9  ,     228
  851.3  ,     233
  875.7  ,     291
  900.1  ,     277
  924.5  ,     260
  948.9  ,     380
  973.3  ,     643
  997.7  ,     878
 1022.1  ,    1059
 1046.5  ,    1003
 1070.9  ,     748
 1095.3  ,     546
 1119.7  ,     464
 1144.1  ,     571
 1168.5  ,     905
 1192.9  ,    1517
 1217.3  ,    2357
 1241.6  ,    2711
 1266.0  ,    2451
 1290.4  ,    1625
 1314.8  ,    1039
 1339.2  ,     721
 1363.6  ,     761
 1388.0  ,    1298
 1412.4  ,    2328
 1436.8  ,    4077
 1461.2  ,    5532
 1485.6  ,    5632
 1510.0  ,    4515
 1534.4  ,    2804
 1558.8  ,    1645
 1583.2  ,    1248
 1607.6  ,    1519
 1632.0  ,    2951
 1656.4  ,    6670
 1680.8  ,   12357
 1705.2  ,   18712
 1729.6  ,   21374
 1754.0  ,   18347
 1778.4  ,   11939
 1802.8  ,    6041
 1827.2  ,    2870
 1851.6  ,    1335
 1876.0  ,     733
 1900.4  ,     525
 1924.8  ,     400
 1949.2  ,     344
 1973.6  ,     391
 1998.0  ,     423
 2022.4  ,     371
 2046.8  ,     282
 2071.2  ,     218
 2095.6  ,     166
 2120.0  ,     149
 2144.4  ,     138
 2168.8  ,     194
 2193.2  ,     322
 2217.6  ,     519
 2242.0  ,     910
 2266.4  ,    1290
 2290.8  ,    1641
 2315.2  ,    1472
 2339.6  ,    1097
 2364.0  ,     700
 2388.4  ,     371
 2412.8  ,     210
 2437.2  ,     169
 2461.6  ,     198
 2486.0  ,     170
 2510.4  ,     169
 2534.8  ,     151
 2559.2  ,     160
 2583.6  ,     211
 2608.0  ,     197
 2632.4  ,     188
 2656.8  ,     166
 2681.2  ,     122
 2705.5  ,      78
 2729.9  ,      48
 2754.3  ,      56
 2778.7  ,      43
 2803.1  ,      51
 2827.5  ,      56
 2851.9  ,      48
