"Target: Morrison_DRT_raster2, Contains DAT files: APB_466228316ESC07740421020_______M1.DAT"
  483.9  ,     788
  508.3  ,       0
  532.7  ,       0
  557.1  ,       0
  581.5  ,       0
  605.9  ,     116
  630.3  ,       0
  654.7  ,      43
  679.1  ,     216
  703.5  ,     200
  728.0  ,     193
  752.4  ,     180
  776.8  ,     177
  801.2  ,     172
  825.6  ,     177
  850.0  ,     181
  874.4  ,     183
  898.8  ,     223
  923.2  ,     203
  947.6  ,     278
  972.0  ,     415
  996.4  ,     613
 1020.8  ,     745
 1045.2  ,     755
 1069.6  ,     587
 1094.0  ,     457
 1118.4  ,     351
 1142.8  ,     421
 1167.2  ,     668
 1191.6  ,    1193
 1216.1  ,    1869
 1240.5  ,    2185
 1264.9  ,    1947
 1289.3  ,    1363
 1313.7  ,     815
 1338.1  ,     536
 1362.5  ,     547
 1386.9  ,     897
 1411.3  ,    1623
 1435.7  ,    3028
 1460.1  ,    4080
 1484.5  ,    4237
 1508.9  ,    3232
 1533.3  ,    2041
 1557.7  ,    1165
 1582.1  ,     853
 1606.5  ,    1063
 1630.9  ,    2081
 1655.3  ,    4709
 1679.7  ,    8973
 1704.2  ,   13795
 1728.6  ,   15787
 1753.0  ,   13714
 1777.4  ,    8935
 1801.8  ,    4578
 1826.2  ,    2072
 1850.6  ,    1005
 1875.0  ,     578
 1899.4  ,     388
 1923.8  ,     305
 1948.2  ,     252
 1972.6  ,     323
 1997.0  ,     303
 2021.4  ,     304
 2045.8  ,     259
 2070.2  ,     177
 2094.6  ,     132
 2119.0  ,     109
 2143.4  ,     101
 2167.9  ,     160
 2192.3  ,     241
 2216.7  ,     419
 2241.1  ,     692
 2265.5  ,    1048
 2289.9  ,    1274
 2314.3  ,    1230
 2338.7  ,     883
 2363.1  ,     554
 2387.5  ,     263
 2411.9  ,     173
 2436.3  ,     139
 2460.7  ,     122
 2485.1  ,     138
 2509.5  ,     116
 2533.9  ,     129
 2558.3  ,     151
 2582.7  ,     170
 2607.1  ,     201
 2631.5  ,     193
 2656.0  ,     138
 2680.4  ,      91
 2704.8  ,      55
 2729.2  ,      44
 2753.6  ,      35
 2778.0  ,      36
 2802.4  ,      41
 2826.8  ,      49
 2851.2  ,      38
 2875.6  ,      43
 2900.0  ,      43
 2924.4  ,      46
 2948.8  ,      53
 2973.2  ,      48
 2997.6  ,      43
 3022.0  ,      44
 3046.4  ,      27
 3070.8  ,      27
 3095.2  ,      33
 3119.6  ,      33
 3144.1  ,      37
 3168.5  ,      49
 3192.9  ,      48
 3217.3  ,      86
 3241.7  ,     113
 3266.1  ,     154
 3290.5  ,     179
 3314.9  ,     192
 3339.3  ,     181
 3363.7  ,     120
 3388.1  ,      87
 3412.5  ,      60
 3436.9  ,      44
 3461.3  ,      49
 3485.7  ,      59
 3510.1  ,      73
 3534.5  ,      79
 3558.9  ,     129
 3583.3  ,     177
 3607.8  ,     343
 3632.2  ,     521
 3656.6  ,     689
 3681.0  ,     713
 3705.4  ,     593
 3729.8  ,     497
 3754.2  ,     302
 3778.6  ,     145
 3803.0  ,      78
 3827.4  ,      50
 3851.8  ,      34
 3876.2  ,      37
 3900.6  ,      44
 3925.0  ,      58
 3949.4  ,      73
 3973.8  ,      91
 3998.2  ,     113
 4022.6  ,      94
 4047.0  ,      81
 4071.4  ,      78
 4095.9  ,      47
 4120.3  ,      36
 4144.7  ,      38
 4169.1  ,      22
 4193.5  ,      22
 4217.9  ,      25
 4242.3  ,      21
 4266.7  ,      19
 4291.1  ,      19
 4315.5  ,      26
 4339.9  ,      30
 4364.3  ,      41
 4388.7  ,      50
 4413.1  ,      71
 4437.5  ,     116
 4461.9  ,     142
 4486.3  ,     150
 4510.7  ,     147
 4535.1  ,     125
 4559.5  ,     101
 4584.0  ,      73
 4608.4  ,      55
 4632.8  ,      62
 4657.2  ,      38
 4681.6  ,      40
 4706.0  ,      28
 4730.4  ,      30
 4754.8  ,      23
 4779.2  ,      22
 4803.6  ,      37
 4828.0  ,      30
 4852.4  ,      27
 4876.8  ,      37
 4901.2  ,      51
 4925.6  ,      44
 4950.0  ,      48
 4974.4  ,      38
 4998.8  ,      26
 5023.2  ,      24
 5047.7  ,      24
 5072.1  ,      21
 5096.5  ,      28
 5120.9  ,      22
 5145.3  ,      25
 5169.7  ,      28
 5194.1  ,      32
 5218.5  ,      31
 5242.9  ,      33
 5267.3  ,      30
 5291.7  ,      38
 5316.1  ,      50
 5340.5  ,      62
 5364.9  ,      64
 5389.3  ,      74
 5413.7  ,      76
 5438.1  ,      71
 5462.5  ,      64
 5486.9  ,      40
 5511.3  ,      28
 5535.8  ,      33
 5560.2  ,      38
 5584.6  ,      23
 5609.0  ,      31
 5633.4  ,      28
 5657.8  ,      27
 5682.2  ,      30
 5706.6  ,      36
 5731.0  ,      45
 5755.4  ,      40
 5779.8  ,      63
 5804.2  ,      79
 5828.6  ,     120
 5853.0  ,     125
 5877.4  ,     123
 5901.8  ,     118
 5926.2  ,     120
 5950.6  ,      78
 5975.0  ,      74
 5999.4  ,      58
 6023.9  ,      65
 6048.3  ,      70
 6072.7  ,      70
 6097.1  ,      73
 6121.5  ,      84
 6145.9  ,     102
 6170.3  ,     147
 6194.7  ,     252
 6219.1  ,     409
 6243.5  ,     764
 6267.9  ,    1422
 6292.3  ,    2392
 6316.7  ,    3597
 6341.1  ,    4940
 6365.5  ,    5651
 6389.9  ,    5794
 6414.3  ,    5075
 6438.7  ,    3939
 6463.1  ,    2609
 6487.6  ,    1533
 6512.0  ,     741
 6536.4  ,     331
 6560.8  ,     146
 6585.2  ,      71
 6609.6  ,      32
 6634.0  ,      24
 6658.4  ,      32
 6682.8  ,      32
 6707.2  ,      39
 6731.6  ,      22
 6756.0  ,      35
 6780.4  ,      48
 6804.8  ,      47
 6829.2  ,      58
 6853.6  ,      76
 6878.0  ,     104
 6902.4  ,     181
 6926.8  ,     306
 6951.2  ,     408
 6975.7  ,     630
 7000.1  ,     846
 7024.5  ,     868
 7048.9  ,     966
 7073.3  ,     822
 7097.7  ,     601
 7122.1  ,     437
 7146.5  ,     282
 7170.9  ,     124
 7195.3  ,      76
 7219.7  ,      32
 7244.1  ,      20
 7268.5  ,      21
 7292.9  ,      24
 7317.3  ,      24
 7341.7  ,      54
 7366.1  ,      60
 7390.5  ,      90
 7414.9  ,     114
 7439.3  ,     124
 7463.8  ,     107
 7488.2  ,     121
 7512.6  ,     116
 7537.0  ,      69
 7561.4  ,      47
 7585.8  ,      26
 7610.2  ,      16
 7634.6  ,      11
 7659.0  ,       8
 7683.4  ,       9
 7707.8  ,       7
 7732.2  ,      15
 7756.6  ,       9
 7781.0  ,       5
 7805.4  ,       7
 7829.8  ,       7
 7854.2  ,      11
 7878.6  ,      10
 7903.0  ,      12
 7927.5  ,      12
 7951.9  ,      11
 7976.3  ,      13
 8000.7  ,      13
 8025.1  ,      13
 8049.5  ,      17
 8073.9  ,      14
 8098.3  ,      15
 8122.7  ,      21
 8147.1  ,      14
 8171.5  ,      22
 8195.9  ,      27
 8220.3  ,      18
 8244.7  ,      25
 8269.1  ,      22
 8293.5  ,      22
 8317.9  ,      25
 8342.3  ,      16
 8366.7  ,      11
 8391.1  ,      19
 8415.6  ,      18
 8440.0  ,      19
 8464.4  ,      40
 8488.8  ,      44
 8513.2  ,      84
 8537.6  ,     108
 8562.0  ,     136
 8586.4  ,     159
 8610.8  ,     209
 8635.2  ,     166
 8659.6  ,     174
 8684.0  ,     121
 8708.4  ,      86
 8732.8  ,      65
 8757.2  ,      44
 8781.6  ,      23
 8806.0  ,      15
 8830.4  ,      11
 8854.8  ,      11
 8879.2  ,      13
 8903.7  ,       8
 8928.1  ,       8
 8952.5  ,       4
 8976.9  ,      10
 9001.3  ,      11
 9025.7  ,       5
 9050.1  ,       4
 9074.5  ,       8
 9098.9  ,      10
 9123.3  ,       7
 9147.7  ,      12
 9172.1  ,      10
 9196.5  ,      12
 9220.9  ,       6
 9245.3  ,      13
 9269.7  ,      12
 9294.1  ,      17
 9318.5  ,      17
 9342.9  ,      10
 9367.4  ,      11
 9391.8  ,       6
 9416.2  ,      10
 9440.6  ,      26
 9465.0  ,      28
 9489.4  ,      31
 9513.8  ,      30
 9538.2  ,      39
 9562.6  ,      34
 9587.0  ,      28
 9611.4  ,      33
 9635.8  ,      16
 9660.2  ,      21
 9684.6  ,      11
 9709.0  ,      11
 9733.4  ,       6
 9757.8  ,      16
 9782.2  ,      13
 9806.6  ,      20
 9831.0  ,      20
 9855.5  ,      17
 9879.9  ,      24
 9904.3  ,      20
 9928.7  ,      22
 9953.1  ,      18
 9977.5  ,      14
10001.9  ,       8
10026.3  ,       7
10050.7  ,       5
10075.1  ,       6
10099.5  ,       5
10123.9  ,      10
10148.3  ,      11
10172.7  ,      13
10197.1  ,       6
10221.5  ,      10
10245.9  ,      11
10270.3  ,       8
10294.7  ,       6
10319.1  ,      14
10343.6  ,      13
10368.0  ,       9
10392.4  ,      11
10416.8  ,       5
10441.2  ,      10
10465.6  ,      16
10490.0  ,      20
10514.4  ,      11
10538.8  ,      15
10563.2  ,      20
10587.6  ,      11
10612.0  ,       9
10636.4  ,      13
10660.8  ,       6
10685.2  ,      11
10709.6  ,      13
10734.0  ,      10
10758.4  ,       2
10782.8  ,      10
10807.2  ,      10
10831.7  ,       3
10856.1  ,       7
10880.5  ,      10
10904.9  ,      15
10929.3  ,       8
10953.7  ,      13
10978.1  ,      11
11002.5  ,       4
11026.9  ,       6
11051.3  ,      10
11075.7  ,      13
11100.1  ,      11
11124.5  ,      18
11148.9  ,      12
11173.3  ,      12
11197.7  ,      15
11222.1  ,      14
11246.5  ,      11
11270.9  ,      15
11295.4  ,      18
11319.8  ,      10
11344.2  ,      17
11368.6  ,      12
11393.0  ,      11
11417.4  ,      13
11441.8  ,      18
11466.2  ,      14
11490.6  ,      12
11515.0  ,      23
11539.4  ,      12
11563.8  ,      18
11588.2  ,      20
11612.6  ,      19
11637.0  ,      20
11661.4  ,      23
11685.8  ,       7
11710.2  ,      14
11734.6  ,      19
11759.0  ,      24
11783.5  ,      23
11807.9  ,      23
11832.3  ,      30
11856.7  ,      28
11881.1  ,      31
11905.5  ,      29
11929.9  ,      38
11954.3  ,      30
11978.7  ,      26
12003.1  ,      26
12027.5  ,      29
12051.9  ,      21
12076.3  ,      29
12100.7  ,      34
12125.1  ,      26
12149.5  ,      30
12173.9  ,      17
12198.3  ,      25
12222.7  ,      19
12247.1  ,      18
12271.6  ,      18
12296.0  ,      13
12320.4  ,      13
12344.8  ,      25
12369.2  ,      12
12393.6  ,      25
12418.0  ,      21
12442.4  ,      17
12466.8  ,      11
12491.2  ,      23
12515.6  ,      13
12540.0  ,      20
12564.4  ,      21
12588.8  ,      25
12613.2  ,      27
12637.6  ,      22
12662.0  ,      23
12686.4  ,      24
12710.8  ,      21
12735.3  ,      14
12759.7  ,      24
12784.1  ,      24
12808.5  ,      16
12832.9  ,      31
12857.3  ,      15
12881.7  ,      27
12906.1  ,      31
12930.5  ,      27
12954.9  ,      31
12979.3  ,      24
13003.7  ,      29
13028.1  ,      32
13052.5  ,      33
13076.9  ,      46
13101.3  ,      30
13125.7  ,      50
13150.1  ,      60
13174.5  ,      73
13198.9  ,      79
13223.4  ,      69
13247.8  ,     105
13272.2  ,      93
13296.6  ,     116
13321.0  ,     130
13345.4  ,     118
13369.8  ,     108
13394.2  ,     121
13418.6  ,     145
13443.0  ,     140
13467.4  ,     157
13491.8  ,     157
13516.2  ,     165
13540.6  ,     146
13565.0  ,     155
13589.4  ,     144
13613.8  ,     147
13638.2  ,     133
13662.6  ,     142
13687.0  ,     114
13711.5  ,      91
13735.9  ,     103
13760.3  ,      92
13784.7  ,      87
13809.1  ,      65
13833.5  ,      68
13857.9  ,      69
13882.3  ,      64
13906.7  ,      73
13931.1  ,      64
13955.5  ,      57
13979.9  ,      61
14004.3  ,      84
14028.7  ,      71
14053.1  ,      85
14077.5  ,     112
14101.9  ,     111
14126.3  ,     146
14150.7  ,     145
