"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.52    ,  0.20  
MgO     ,  6.90    ,  0.17  
Al2O3   ,  9.24    ,  0.19  
SiO2    , 46.19    ,  0.64  
P2O5    ,  1.08    ,  0.07  
SO3     ,  9.94    ,  0.22  
Cl      ,  0.62    ,  0.04  
K2O     ,  0.74    ,  0.04  
CaO     ,  4.38    ,  0.08  
TiO2    ,  0.92    ,  0.07  
Cr2O3   ,  0.34    ,  0.03  
MnO     ,  0.34    ,  0.03  
FeO     , 16.12    ,  0.20  
Ni      ,  0.3084  ,  0.0155
Zn      ,  0.1983  ,  0.0060
Br      ,  0.0068  ,  0.0010
