"Target: Morrison_DRT_raster3, Contains DAT files: APB_466229570ESC07740421020_______M1.DAT"
 7414.5  ,     130
 7438.9  ,     140
 7463.3  ,     139
 7487.7  ,     120
 7512.1  ,     101
 7536.5  ,      80
 7560.9  ,      50
 7585.3  ,      33
 7609.7  ,      22
 7634.1  ,       8
 7658.5  ,      15
 7682.9  ,      12
 7707.3  ,      11
 7731.7  ,       7
 7756.1  ,      10
 7780.5  ,       9
 7804.9  ,      15
 7829.3  ,      10
 7853.7  ,       8
 7878.1  ,      14
 7902.5  ,       9
 7926.9  ,       8
 7951.3  ,      20
 7975.7  ,      16
 8000.1  ,      16
 8024.5  ,      17
 8048.9  ,      26
 8073.3  ,      20
 8097.7  ,      21
 8122.1  ,      19
 8146.5  ,      17
 8170.9  ,      16
 8195.3  ,      18
 8219.7  ,      26
 8244.1  ,      31
 8268.5  ,      38
 8293.0  ,      38
 8317.4  ,      37
 8341.8  ,      23
 8366.2  ,      18
 8390.6  ,      16
 8415.0  ,      18
 8439.4  ,      35
 8463.8  ,      33
 8488.2  ,      68
 8512.6  ,     112
 8537.0  ,     141
 8561.4  ,     217
 8585.8  ,     222
 8610.2  ,     266
 8634.6  ,     264
 8659.0  ,     207
 8683.4  ,     166
 8707.8  ,     124
 8732.2  ,      85
 8756.6  ,      59
 8781.0  ,      25
 8805.4  ,      14
 8829.8  ,      12
 8854.2  ,      13
 8878.6  ,      16
 8903.0  ,      12
 8927.4  ,      10
 8951.8  ,      11
 8976.2  ,      12
 9000.6  ,      11
 9025.0  ,       9
 9049.4  ,      13
 9073.8  ,      12
 9098.2  ,       7
 9122.6  ,      17
 9147.0  ,      11
 9171.4  ,       9
 9195.8  ,      20
 9220.2  ,      10
 9244.6  ,      11
 9269.0  ,      12
 9293.4  ,      22
 9317.8  ,      12
 9342.3  ,      16
 9366.7  ,      11
 9391.1  ,      16
 9415.5  ,      24
 9439.9  ,      25
 9464.3  ,      45
 9488.7  ,      50
 9513.1  ,      38
 9537.5  ,      48
 9561.9  ,      55
 9586.3  ,      52
 9610.7  ,      25
 9635.1  ,      36
 9659.5  ,      21
 9683.9  ,      17
 9708.3  ,      21
 9732.7  ,      20
 9757.1  ,      20
 9781.5  ,      22
 9805.9  ,      22
 9830.3  ,      23
 9854.7  ,      20
 9879.1  ,      31
 9903.5  ,      25
 9927.9  ,      17
 9952.3  ,      16
 9976.7  ,      12
10001.1  ,      11
10025.5  ,      16
10049.9  ,       7
10074.3  ,       9
10098.7  ,       9
10123.1  ,      10
10147.5  ,       8
10171.9  ,       5
10196.3  ,      11
10220.7  ,      15
10245.1  ,      19
10269.5  ,      16
10293.9  ,       9
10318.3  ,       7
10342.7  ,       7
10367.2  ,       9
10391.6  ,       9
10416.0  ,      11
10440.4  ,      12
10464.8  ,      12
10489.2  ,      17
10513.6  ,      16
10538.0  ,      21
10562.4  ,      14
10586.8  ,      21
10611.2  ,      17
10635.6  ,      19
10660.0  ,       6
10684.4  ,      15
10708.8  ,      12
10733.2  ,      10
10757.6  ,       9
10782.0  ,      11
10806.4  ,      14
10830.8  ,      10
10855.2  ,      12
10879.6  ,       9
10904.0  ,      13
10928.4  ,      22
10952.8  ,       8
10977.2  ,      14
11001.6  ,      10
11026.0  ,      11
11050.4  ,      11
11074.8  ,      13
11099.2  ,       8
11123.6  ,      20
11148.0  ,      17
11172.4  ,      16
11196.8  ,      18
11221.2  ,      18
11245.6  ,      23
11270.0  ,      21
11294.4  ,      22
11318.8  ,      15
11343.2  ,      14
11367.6  ,      16
11392.0  ,      16
11416.5  ,      13
