"Target: Chanterac_1, Contains DAT files: APB_679907257ESC31810891992_______M1.DAT"
  479.0  ,     968
  503.5  ,       0
  527.9  ,       0
  552.4  ,       0
  576.8  ,       0
  601.3  ,     111
  625.7  ,      31
  650.2  ,      42
  674.7  ,      46
  699.1  ,      59
  723.6  ,      48
  748.0  ,      41
  772.5  ,      37
  796.9  ,      42
  821.4  ,      52
  845.8  ,      52
  870.3  ,      42
  894.8  ,      72
  919.2  ,      58
  943.7  ,      85
  968.1  ,      87
  992.6  ,     126
 1017.0  ,     174
 1041.5  ,     182
 1066.0  ,     131
 1090.4  ,      96
 1114.9  ,      93
 1139.3  ,      99
 1163.8  ,     158
 1188.2  ,     276
 1212.7  ,     527
 1237.1  ,     595
 1261.6  ,     659
 1286.1  ,     401
 1310.5  ,     211
 1335.0  ,     114
 1359.4  ,      99
 1383.9  ,     156
 1408.3  ,     269
 1432.8  ,     534
 1457.3  ,     816
 1481.7  ,     828
 1506.2  ,     681
 1530.6  ,     384
 1555.1  ,     243
 1579.5  ,     162
 1604.0  ,     179
 1628.4  ,     321
 1652.9  ,     792
 1677.4  ,    1712
 1701.8  ,    2768
 1726.3  ,    3326
 1750.7  ,    2885
 1775.2  ,    1905
 1799.6  ,     895
 1824.1  ,     416
 1848.6  ,     228
 1873.0  ,     136
 1897.5  ,     100
 1921.9  ,      76
 1946.4  ,      61
 1970.8  ,      74
 1995.3  ,      79
 2019.7  ,      73
 2044.2  ,      80
 2068.7  ,      43
 2093.1  ,      42
 2117.6  ,      43
 2142.0  ,      41
 2166.5  ,      50
 2190.9  ,      62
 2215.4  ,     142
 2239.9  ,     203
 2264.3  ,     373
 2288.8  ,     427
 2313.2  ,     417
 2337.7  ,     289
 2362.1  ,     195
 2386.6  ,      80
 2411.0  ,      50
 2435.5  ,      48
 2460.0  ,      38
 2484.4  ,      44
 2508.9  ,      38
 2533.3  ,      45
 2557.8  ,      40
 2582.2  ,      72
 2606.7  ,      72
 2631.2  ,      67
 2655.6  ,      50
 2680.1  ,      36
 2704.5  ,      20
 2729.0  ,       7
 2753.4  ,      17
 2777.9  ,      15
 2802.3  ,      18
 2826.8  ,      18
 2851.3  ,      22
 2875.7  ,      18
 2900.2  ,      30
 2924.6  ,      44
 2949.1  ,      34
 2973.5  ,      38
 2998.0  ,      30
 3022.5  ,      17
 3046.9  ,      14
 3071.4  ,       9
 3095.8  ,      11
 3120.3  ,      12
 3144.7  ,       6
 3169.2  ,      15
 3193.6  ,      16
 3218.1  ,      20
 3242.6  ,      33
 3267.0  ,      31
 3291.5  ,      40
 3315.9  ,      55
 3340.4  ,      23
 3364.8  ,      25
 3389.3  ,      12
 3413.8  ,      12
 3438.2  ,      13
 3462.7  ,      19
 3487.1  ,      13
 3511.6  ,      19
 3536.0  ,      29
 3560.5  ,      46
 3585.0  ,      69
 3609.4  ,     110
 3633.9  ,     220
 3658.3  ,     224
 3682.8  ,     245
 3707.2  ,     206
 3731.7  ,     137
 3756.1  ,      84
 3780.6  ,      34
 3805.1  ,      18
 3829.5  ,      18
 3854.0  ,      15
 3878.4  ,      10
 3902.9  ,      12
 3927.3  ,      23
 3951.8  ,      30
 3976.3  ,      38
 4000.7  ,      40
 4025.2  ,      30
 4049.6  ,      32
 4074.1  ,      16
 4098.5  ,      19
 4123.0  ,      14
 4147.4  ,      12
 4171.9  ,      13
 4196.4  ,       8
 4220.8  ,       9
 4245.3  ,       6
 4269.7  ,      11
 4294.2  ,       5
 4318.6  ,       6
 4343.1  ,       9
 4367.6  ,       8
 4392.0  ,      10
 4416.5  ,      18
 4440.9  ,      25
 4465.4  ,      28
 4489.8  ,      38
 4514.3  ,      38
 4538.7  ,      27
 4563.2  ,      14
 4587.7  ,      15
 4612.1  ,      20
 4636.6  ,      15
 4661.0  ,      11
 4685.5  ,      11
 4709.9  ,       8
 4734.4  ,       5
 4758.9  ,       8
 4783.3  ,       8
 4807.8  ,       8
 4832.2  ,       9
 4856.7  ,       7
 4881.1  ,       6
 4905.6  ,      12
 4930.0  ,      18
 4954.5  ,      17
 4979.0  ,      10
 5003.4  ,       9
 5027.9  ,       6
 5052.3  ,       7
 5076.8  ,       8
 5101.2  ,       6
 5125.7  ,      13
 5150.2  ,      10
 5174.6  ,       4
 5199.1  ,       6
 5223.5  ,       9
 5248.0  ,      12
 5272.4  ,      16
 5296.9  ,      10
 5321.3  ,      14
 5345.8  ,      11
 5370.3  ,      20
 5394.7  ,      25
 5419.2  ,      16
 5443.6  ,      12
 5468.1  ,      10
 5492.5  ,      10
 5517.0  ,       7
 5541.5  ,      10
 5565.9  ,       7
 5590.4  ,      13
 5614.8  ,       6
 5639.3  ,       8
 5663.7  ,       7
 5688.2  ,      20
 5712.6  ,       6
 5737.1  ,      12
 5761.6  ,      12
 5786.0  ,      20
 5810.5  ,      21
 5834.9  ,      31
 5859.4  ,      22
 5883.8  ,      25
 5908.3  ,      27
 5932.8  ,      21
 5957.2  ,      21
 5981.7  ,      26
 6006.1  ,      25
 6030.6  ,      19
 6055.0  ,      17
 6079.5  ,      19
 6104.0  ,      19
 6128.4  ,      23
 6152.9  ,      31
 6177.3  ,      46
 6201.8  ,      66
 6226.2  ,     125
 6250.7  ,     245
