"Target: Chanterac_2, Contains DAT files: APB_679908504ESC31810891992_______M1.DAT"
 7521.7  ,      12
 7546.1  ,       8
 7570.6  ,       6
 7595.1  ,       2
 7619.5  ,       5
 7644.0  ,       8
 7668.4  ,       5
 7692.9  ,       2
 7717.3  ,       6
 7741.8  ,       4
 7766.2  ,       1
 7790.7  ,       8
 7815.2  ,       4
 7839.6  ,       3
 7864.1  ,       5
 7888.5  ,       4
 7913.0  ,       7
 7937.4  ,       5
 7961.9  ,       9
 7986.3  ,       7
 8010.8  ,       6
 8035.2  ,       4
 8059.7  ,       5
 8084.2  ,       6
 8108.6  ,       2
 8133.1  ,       3
 8157.5  ,       5
 8182.0  ,       4
 8206.4  ,       2
 8230.9  ,       7
 8255.3  ,       5
 8279.8  ,       5
 8304.2  ,       5
 8328.7  ,       7
 8353.2  ,       2
 8377.6  ,       7
 8402.1  ,       4
 8426.5  ,       6
 8451.0  ,       7
 8475.4  ,       9
 8499.9  ,      14
 8524.3  ,      12
 8548.8  ,      16
 8573.3  ,      21
 8597.7  ,      26
 8622.2  ,      33
 8646.6  ,      28
 8671.1  ,      12
 8695.5  ,      15
 8720.0  ,       7
 8744.4  ,       7
 8768.9  ,       2
 8793.3  ,       6
 8817.8  ,       6
 8842.3  ,       5
 8866.7  ,       4
 8891.2  ,       5
 8915.6  ,       5
 8940.1  ,       5
 8964.5  ,       8
 8989.0  ,       4
 9013.4  ,       5
 9037.9  ,       6
 9062.3  ,       6
 9086.8  ,       8
 9111.3  ,       2
 9135.7  ,       4
 9160.2  ,       2
 9184.6  ,       4
 9209.1  ,       4
 9233.5  ,       8
 9258.0  ,       9
 9282.4  ,       6
 9306.9  ,       6
 9331.4  ,       3
 9355.8  ,       7
 9380.3  ,       4
 9404.7  ,       3
 9429.2  ,       4
 9453.6  ,       5
 9478.1  ,       4
 9502.5  ,       4
 9527.0  ,       7
 9551.4  ,       6
 9575.9  ,       8
 9600.4  ,       8
 9624.8  ,       2
 9649.3  ,       8
 9673.7  ,       7
 9698.2  ,       7
 9722.6  ,       1
 9747.1  ,       5
 9771.5  ,       7
 9796.0  ,       2
 9820.4  ,       6
 9844.9  ,       6
 9869.4  ,       6
 9893.8  ,       6
 9918.3  ,       7
 9942.7  ,       4
 9967.2  ,       7
 9991.6  ,       3
10016.1  ,       6
10040.5  ,       6
10065.0  ,       8
10089.5  ,       5
10113.9  ,       0
10138.4  ,       0
10162.8  ,       4
10187.3  ,       4
10211.7  ,       2
10236.2  ,       6
10260.6  ,       1
10285.1  ,       4
10309.5  ,       3
10334.0  ,       4
10358.5  ,       3
10382.9  ,       4
10407.4  ,       8
10431.8  ,       3
10456.3  ,       7
10480.7  ,       6
10505.2  ,       4
10529.6  ,       9
10554.1  ,       9
10578.5  ,       3
10603.0  ,       8
10627.5  ,       7
10651.9  ,       7
10676.4  ,       5
10700.8  ,       5
10725.3  ,       8
10749.7  ,       4
10774.2  ,       3
10798.6  ,       7
10823.1  ,       2
10847.6  ,       0
10872.0  ,       4
10896.5  ,       7
10920.9  ,       3
10945.4  ,       3
10969.8  ,       6
10994.3  ,       6
11018.7  ,       3
11043.2  ,       5
11067.6  ,       4
11092.1  ,       4
11116.6  ,       7
11141.0  ,       3
11165.5  ,       5
11189.9  ,       2
11214.4  ,       7
11238.8  ,       2
11263.3  ,       7
11287.7  ,       3
11312.2  ,       3
11336.6  ,       1
11361.1  ,       7
11385.6  ,       4
11410.0  ,       9
11434.5  ,       4
11458.9  ,       4
11483.4  ,       6
11507.8  ,       4
11532.3  ,       4
11556.7  ,      10
11581.2  ,       6
11605.7  ,       3
11630.1  ,       9
11654.6  ,       8
11679.0  ,       8
11703.5  ,       8
11727.9  ,       7
11752.4  ,      12
11776.8  ,      11
11801.3  ,      12
11825.7  ,      15
11850.2  ,      26
11874.7  ,      17
11899.1  ,      29
11923.6  ,      18
11948.0  ,      22
11972.5  ,      15
11996.9  ,      16
12021.4  ,      11
12045.8  ,       7
12070.3  ,      11
12094.7  ,      12
12119.2  ,      13
12143.7  ,       8
12168.1  ,      15
12192.6  ,       3
12217.0  ,       8
12241.5  ,       6
12265.9  ,       9
12290.4  ,       8
12314.8  ,       4
12339.3  ,       6
12363.8  ,       7
12388.2  ,       6
12412.7  ,      10
12437.1  ,      11
12461.6  ,       7
12486.0  ,       4
12510.5  ,       6
12534.9  ,       7
12559.4  ,      11
12583.8  ,      11
12608.3  ,       4
12632.8  ,       8
12657.2  ,       6
12681.7  ,       9
12706.1  ,       4
12730.6  ,      11
12755.0  ,       7
12779.5  ,       8
12803.9  ,       5
12828.4  ,       6
12852.8  ,      13
12877.3  ,       6
12901.8  ,      11
12926.2  ,      10
12950.7  ,      10
12975.1  ,       6
12999.6  ,      13
13024.0  ,       7
13048.5  ,       9
13072.9  ,      13
13097.4  ,      13
13121.9  ,      20
13146.3  ,      17
13170.8  ,      19
13195.2  ,      18
13219.7  ,      16
13244.1  ,      20
13268.6  ,      33
13293.0  ,      29
13317.5  ,      30
13341.9  ,      34
13366.4  ,      34
13390.9  ,      44
13415.3  ,      40
13439.8  ,      41
13464.2  ,      35
13488.7  ,      47
13513.1  ,      42
13537.6  ,      42
13562.0  ,      44
13586.5  ,      46
13610.9  ,      33
13635.4  ,      37
13659.9  ,      38
13684.3  ,      40
13708.8  ,      36
13733.2  ,      33
13757.7  ,      26
13782.1  ,      25
13806.6  ,      15
13831.0  ,      22
13855.5  ,      18
13880.0  ,      13
13904.4  ,      17
13928.9  ,      15
13953.3  ,      25
13977.8  ,      13
14002.2  ,      18
14026.7  ,      19
14051.1  ,      23
14075.6  ,      32
14100.0  ,      31
14124.5  ,      32
14149.0  ,      43
14173.4  ,      45
14197.9  ,      52
14222.3  ,      59
14246.8  ,      62
14271.2  ,      54
14295.7  ,      75
14320.1  ,      50
14344.6  ,      41
14369.0  ,      32
14393.5  ,      27
14418.0  ,      21
14442.4  ,      22
14466.9  ,      13
14491.3  ,      14
14515.8  ,       8
14540.2  ,       8
14564.7  ,       6
14589.1  ,       3
14613.6  ,       4
14638.1  ,       8
14662.5  ,       1
14687.0  ,       4
14711.4  ,       2
14735.9  ,       8
14760.3  ,      10
14784.8  ,       5
14809.2  ,       8
14833.7  ,       6
14858.1  ,       9
14882.6  ,       5
14907.1  ,       7
14931.5  ,       7
14956.0  ,      10
14980.4  ,       5
15004.9  ,       9
15029.3  ,       8
15053.8  ,       6
15078.2  ,      11
15102.7  ,       6
15127.1  ,       5
15151.6  ,       7
15176.1  ,       7
15200.5  ,      11
15225.0  ,       9
15249.4  ,       9
15273.9  ,      12
15298.3  ,      16
15322.8  ,      15
15347.2  ,      10
15371.7  ,      13
15396.2  ,      10
15420.6  ,      11
15445.1  ,      11
15469.5  ,      17
15494.0  ,      23
15518.4  ,      28
15542.9  ,      45
15567.3  ,      59
15591.8  ,      89
15616.2  ,     101
15640.7  ,     111
15665.2  ,     130
15689.6  ,     159
15714.1  ,     171
15738.5  ,     187
15763.0  ,     190
15787.4  ,     206
15811.9  ,     154
15836.3  ,     138
15860.8  ,      99
15885.2  ,      81
15909.7  ,      53
15934.2  ,      57
15958.6  ,      34
15983.1  ,      27
16007.5  ,      21
16032.0  ,      20
16056.4  ,      19
16080.9  ,      22
16105.3  ,      18
16129.8  ,      14
16154.3  ,      21
16178.7  ,      23
16203.2  ,      30
16227.6  ,      29
16252.1  ,      19
16276.5  ,      15
16301.0  ,      20
16325.4  ,      22
16349.9  ,      22
16374.3  ,      29
16398.8  ,      33
16423.3  ,      19
16447.7  ,      14
16472.2  ,      23
16496.6  ,      16
16521.1  ,      24
16545.5  ,      20
16570.0  ,      15
16594.4  ,      20
16618.9  ,      26
16643.3  ,      14
16667.8  ,      26
16692.3  ,      18
16716.7  ,      29
16741.2  ,      31
16765.6  ,      34
16790.1  ,      37
16814.5  ,      35
16839.0  ,      39
16863.4  ,      42
16887.9  ,      37
16912.4  ,      42
16936.8  ,      49
16961.3  ,      51
16985.7  ,      62
17010.2  ,      50
17034.6  ,      58
17059.1  ,      44
17083.5  ,      52
17108.0  ,      50
17132.4  ,      70
17156.9  ,      66
17181.4  ,      60
17205.8  ,      69
17230.3  ,      45
17254.7  ,      47
17279.2  ,      44
17303.6  ,      48
17328.1  ,      51
17352.5  ,      52
17377.0  ,      17
17401.4  ,      47
17425.9  ,      25
17450.4  ,      26
17474.8  ,      41
17499.3  ,      31
17523.7  ,      46
17548.2  ,      35
17572.6  ,      39
17597.1  ,      36
17621.5  ,      50
17646.0  ,      52
17670.5  ,      41
17694.9  ,      45
17719.4  ,      50
17743.8  ,      31
17768.3  ,      32
17792.7  ,      38
17817.2  ,      16
17841.6  ,      22
17866.1  ,      22
17890.5  ,      15
17915.0  ,      13
17939.5  ,      15
17963.9  ,      14
17988.4  ,      11
18012.8  ,      16
18037.3  ,      15
18061.7  ,      13
18086.2  ,      11
18110.6  ,       6
18135.1  ,      30
18159.5  ,      27
18184.0  ,      40
18208.5  ,      34
18232.9  ,      48
18257.4  ,      55
18281.8  ,      65
18306.3  ,      43
18330.7  ,      38
18355.2  ,      45
18379.6  ,      30
18404.1  ,      22
18428.6  ,      26
18453.0  ,      23
18477.5  ,      12
18501.9  ,       8
18526.4  ,      16
18550.8  ,      10
18575.3  ,       6
18599.7  ,       8
18624.2  ,       1
18648.6  ,       8
18673.1  ,      12
18697.6  ,       3
18722.0  ,       6
18746.5  ,       2
18770.9  ,       4
18795.4  ,       2
18819.8  ,       3
18844.3  ,       2
18868.7  ,       0
18893.2  ,       5
18917.6  ,       3
18942.1  ,       5
18966.6  ,       5
18991.0  ,       1
19015.5  ,       3
19039.9  ,       6
19064.4  ,       7
19088.8  ,       9
19113.3  ,       4
19137.7  ,       5
19162.2  ,       4
19186.7  ,       7
19211.1  ,       4
19235.6  ,       4
19260.0  ,       8
19284.5  ,      10
19308.9  ,       6
19333.4  ,       8
19357.8  ,      14
19382.3  ,       6
19406.7  ,       4
19431.2  ,       8
19455.7  ,       8
19480.1  ,       4
19504.6  ,      10
19529.0  ,       6
19553.5  ,      11
19577.9  ,      11
19602.4  ,      13
19626.8  ,      11
19651.3  ,      14
19675.7  ,      11
19700.2  ,      10
19724.7  ,      12
19749.1  ,      15
19773.6  ,      17
19798.0  ,      12
19822.5  ,      17
19846.9  ,      12
19871.4  ,      11
19895.8  ,      19
19920.3  ,      10
19944.8  ,      12
19969.2  ,       9
19993.7  ,      12
20018.1  ,       6
20042.6  ,      10
20067.0  ,      10
20091.5  ,       5
20115.9  ,      12
20140.4  ,      10
20164.8  ,      13
20189.3  ,       8
20213.8  ,       4
20238.2  ,       7
20262.7  ,       7
20287.1  ,      11
20311.6  ,      14
20336.0  ,       4
20360.5  ,       7
20384.9  ,       5
20409.4  ,       8
20433.8  ,       6
20458.3  ,       4
20482.8  ,       2
20507.2  ,       6
20531.7  ,       7
20556.1  ,       4
20580.6  ,       8
20605.0  ,       5
20629.5  ,       4
20653.9  ,       4
20678.4  ,       6
20702.9  ,       3
20727.3  ,       7
20751.8  ,       9
20776.2  ,       9
20800.7  ,       7
20825.1  ,       4
20849.6  ,       3
20874.0  ,       3
20898.5  ,       3
20922.9  ,       5
20947.4  ,       4
20971.9  ,       3
20996.3  ,       5
21020.8  ,       2
21045.2  ,       4
21069.7  ,       3
21094.1  ,       1
21118.6  ,       3
21143.0  ,       4
21167.5  ,       2
21191.9  ,       3
21216.4  ,       5
21240.9  ,      15
21265.3  ,       8
21289.8  ,       6
21314.2  ,       7
21338.7  ,       7
21363.1  ,      10
21387.6  ,       9
21412.0  ,       9
21436.5  ,      13
21461.0  ,      11
21485.4  ,      10
21509.9  ,       9
21534.3  ,       8
21558.8  ,       3
21583.2  ,       6
21607.7  ,       5
21632.1  ,       3
21656.6  ,       3
21681.0  ,       2
21705.5  ,       1
21730.0  ,       5
21754.4  ,       3
21778.9  ,       1
21803.3  ,       2
21827.8  ,       3
21852.2  ,       3
21876.7  ,       1
21901.1  ,       5
21925.6  ,       2
21950.0  ,       4
21974.5  ,       4
21999.0  ,       2
22023.4  ,       1
22047.9  ,       4
22072.3  ,       3
22096.8  ,       2
22121.2  ,       2
22145.7  ,       3
22170.1  ,       5
22194.6  ,       6
22219.1  ,       6
22243.5  ,       6
22268.0  ,       1
22292.4  ,       3
22316.9  ,       3
22341.3  ,       1
22365.8  ,       7
22390.2  ,       3
22414.7  ,       2
22439.1  ,       5
22463.6  ,       3
22488.1  ,       0
22512.5  ,       3
22537.0  ,       5
22561.4  ,       4
22585.9  ,       4
22610.3  ,       3
22634.8  ,       5
22659.2  ,       3
22683.7  ,       2
22708.1  ,       3
22732.6  ,       0
22757.1  ,       6
22781.5  ,       1
22806.0  ,       2
22830.4  ,       4
22854.9  ,       2
22879.3  ,       3
22903.8  ,       2
22928.2  ,       5
22952.7  ,       2
22977.2  ,       1
23001.6  ,       4
23026.1  ,       1
23050.5  ,       4
23075.0  ,       5
23099.4  ,       1
23123.9  ,       1
23148.3  ,       2
23172.8  ,       3
23197.2  ,       2
23221.7  ,       3
23246.2  ,       3
23270.6  ,       2
23295.1  ,       1
23319.5  ,       2
23344.0  ,       2
23368.4  ,       2
23392.9  ,       5
23417.3  ,       2
23441.8  ,       3
23466.2  ,       4
23490.7  ,       1
23515.2  ,       5
23539.6  ,       4
23564.1  ,       0
23588.5  ,       2
23613.0  ,       2
23637.4  ,       1
23661.9  ,       3
23686.3  ,       2
23710.8  ,       3
23735.3  ,       2
23759.7  ,       3
23784.2  ,       3
23808.6  ,       1
23833.1  ,       4
23857.5  ,       1
23882.0  ,       3
23906.4  ,       2
23930.9  ,       4
23955.3  ,       0
23979.8  ,       3
24004.3  ,       3
24028.7  ,       0
24053.2  ,       5
24077.6  ,       3
24102.1  ,       0
24126.5  ,       2
24151.0  ,       4
24175.4  ,       2
24199.9  ,       1
24224.3  ,       0
24248.8  ,       1
24273.3  ,       2
24297.7  ,       0
24322.2  ,       1
24346.6  ,       1
24371.1  ,       2
24395.5  ,       1
24420.0  ,       3
24444.4  ,       3
24468.9  ,       1
24493.4  ,       3
24517.8  ,       1
24542.3  ,       2
24566.7  ,       2
24591.2  ,       3
24615.6  ,       4
24640.1  ,       2
24664.5  ,       0
24689.0  ,       2
24713.4  ,       3
24737.9  ,       1
24762.4  ,       2
24786.8  ,       1
24811.3  ,       4
24835.7  ,       1
24860.2  ,       1
24884.6  ,       1
24909.1  ,       4
24933.5  ,       0
24958.0  ,       3
24982.4  ,       4
25006.9  ,       3
25031.4  ,       5
25055.8  ,       3
25080.3  ,       5
25104.7  ,       3
25129.2  ,       3
25153.6  ,       4
25178.1  ,       5
25202.5  ,       3
25227.0  ,       6
25251.5  ,       1
25275.9  ,       1
25300.4  ,       3
25324.8  ,       5
25349.3  ,       1
25373.7  ,       4
25398.2  ,       3
25422.6  ,       7
25447.1  ,       7
25471.5  ,       2
25496.0  ,    7671
