"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.22    ,  0.07  
MgO     ,  5.14    ,  0.17  
Al2O3   ,  7.96    ,  0.19  
SiO2    , 43.56    ,  0.54  
P2O5    ,  1.14    ,  0.07  
SO3     ,  8.61    ,  0.10  
Cl      ,  1.09    ,  0.02  
K2O     ,  0.78    ,  0.02  
CaO     ,  4.61    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.27    ,  0.01  
FeO     , 22.77    ,  0.26  
Ni      ,  0.1195  ,  0.0060
Zn      ,  0.1763  ,  0.0055
Br      ,  0.0030  ,  0.0010
