"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.30    ,  0.48  
MgO     ,  8.48    ,  1.75  
Al2O3   ,  7.79    ,  0.29  
SiO2    , 39.05    ,  0.64  
P2O5    ,  0.97    ,  0.21  
SO3     , 14.30    ,  0.47  
Cl      ,  1.04    ,  0.10  
K2O     ,  0.61    ,  0.13  
CaO     ,  7.05    ,  0.20  
TiO2    ,  0.72    ,  0.16  
Cr2O3   ,  0.27    ,  0.06  
MnO     ,  0.28    ,  0.05  
FeO     , 16.89    ,  0.20  
Ni      ,  0.0508  ,  0.0110
Zn      ,  0.0739  ,  0.0080
Br      ,  0.0318  ,  0.0030
