"Target: Chanterac_3, Contains DAT files: APB_679909747ESC31810891992_______M1.DAT"
  478.9  ,    1028
  503.4  ,       0
  527.8  ,       0
  552.3  ,       0
  576.7  ,       0
  601.2  ,     111
  625.6  ,      27
  650.1  ,      53
  674.5  ,      64
  699.0  ,      52
  723.4  ,      49
  747.9  ,      39
  772.3  ,      58
  796.8  ,      41
  821.2  ,      42
  845.7  ,      45
  870.1  ,      61
  894.6  ,      72
  919.0  ,      61
  943.5  ,      54
  967.9  ,     106
  992.4  ,     137
 1016.8  ,     154
 1041.3  ,     197
 1065.7  ,     148
 1090.2  ,     103
 1114.6  ,      91
 1139.1  ,      97
 1163.5  ,     161
 1188.0  ,     295
 1212.4  ,     513
 1236.9  ,     691
 1261.3  ,     593
 1285.8  ,     407
 1310.2  ,     223
 1334.7  ,     130
 1359.1  ,     105
 1383.6  ,     150
 1408.0  ,     290
 1432.5  ,     527
 1456.9  ,     785
 1481.4  ,     873
 1505.8  ,     683
 1530.3  ,     398
 1554.7  ,     236
 1579.2  ,     135
 1603.6  ,     171
 1628.1  ,     363
 1652.5  ,     819
 1677.0  ,    1653
 1701.5  ,    2702
 1725.9  ,    3321
 1750.4  ,    2905
 1774.8  ,    1882
 1799.3  ,     951
 1823.7  ,     431
 1848.2  ,     233
 1872.6  ,     125
 1897.1  ,      96
 1921.5  ,      74
 1946.0  ,      79
 1970.4  ,      87
 1994.9  ,      82
 2019.3  ,      76
 2043.8  ,      56
 2068.2  ,      41
 2092.7  ,      42
 2117.1  ,      52
 2141.6  ,      46
 2166.0  ,      47
 2190.5  ,      73
 2214.9  ,     151
 2239.4  ,     284
 2263.8  ,     459
 2288.3  ,     549
 2312.7  ,     493
 2337.2  ,     374
 2361.6  ,     208
 2386.1  ,     127
 2410.5  ,      66
 2435.0  ,      53
 2459.4  ,      56
 2483.9  ,      61
 2508.3  ,      45
 2532.8  ,      46
 2557.2  ,      51
 2581.7  ,      61
 2606.1  ,      72
 2630.6  ,      84
 2655.0  ,      53
 2679.5  ,      48
 2703.9  ,      23
 2728.4  ,      15
 2752.8  ,      10
 2777.3  ,      22
 2801.7  ,      20
 2826.2  ,      14
 2850.6  ,      24
 2875.1  ,      26
 2899.6  ,      43
 2924.0  ,      35
 2948.5  ,      35
 2972.9  ,      38
 2997.4  ,      30
 3021.8  ,      16
 3046.3  ,      20
 3070.7  ,      12
 3095.2  ,      13
 3119.6  ,       9
 3144.1  ,       9
 3168.5  ,      13
 3193.0  ,      15
 3217.4  ,      21
 3241.9  ,      28
 3266.3  ,      42
 3290.8  ,      44
 3315.2  ,      39
 3339.7  ,      36
 3364.1  ,      35
 3388.6  ,      24
 3413.0  ,      19
 3437.5  ,      14
