"Target: Chanterac_4, Contains DAT files: APB_679910994ESC31810891992_______M1.DAT"
  479.5  ,    1030
  503.9  ,       0
  528.4  ,       0
  552.8  ,       0
  577.3  ,       0
  601.7  ,     111
  626.2  ,      34
  650.6  ,      52
  675.1  ,      55
  699.5  ,      50
  724.0  ,      49
  748.4  ,      53
  772.9  ,      49
  797.3  ,      62
  821.8  ,      49
  846.2  ,      41
  870.7  ,      53
  895.1  ,      56
  919.6  ,      61
  944.0  ,      66
  968.4  ,      81
  992.9  ,     128
 1017.3  ,     186
 1041.8  ,     164
 1066.2  ,     127
 1090.7  ,     101
 1115.1  ,      94
 1139.6  ,     114
 1164.0  ,     143
 1188.5  ,     331
 1212.9  ,     502
 1237.4  ,     673
 1261.8  ,     579
 1286.3  ,     361
 1310.7  ,     220
 1335.2  ,     111
 1359.6  ,     106
 1384.1  ,     156
 1408.5  ,     331
 1432.9  ,     526
 1457.4  ,     803
 1481.8  ,     867
 1506.3  ,     701
 1530.7  ,     403
 1555.2  ,     238
 1579.6  ,     181
 1604.1  ,     156
 1628.5  ,     353
 1653.0  ,     809
 1677.4  ,    1664
 1701.9  ,    2695
 1726.3  ,    3378
 1750.8  ,    2870
 1775.2  ,    1880
 1799.7  ,     947
 1824.1  ,     407
 1848.5  ,     203
 1873.0  ,     129
 1897.4  ,      79
 1921.9  ,      61
 1946.3  ,      63
 1970.8  ,      73
 1995.2  ,      84
 2019.7  ,      81
 2044.1  ,      58
 2068.6  ,      60
 2093.0  ,      52
 2117.5  ,      39
 2141.9  ,      44
 2166.4  ,      55
 2190.8  ,      71
 2215.3  ,     132
 2239.7  ,     274
 2264.2  ,     441
 2288.6  ,     565
 2313.0  ,     545
 2337.5  ,     383
 2361.9  ,     237
 2386.4  ,     111
 2410.8  ,      75
 2435.3  ,      50
 2459.7  ,      51
 2484.2  ,      66
 2508.6  ,      42
 2533.1  ,      38
 2557.5  ,      49
 2582.0  ,      78
 2606.4  ,      78
 2630.9  ,      74
 2655.3  ,      56
 2679.8  ,      33
 2704.2  ,      23
 2728.7  ,      13
 2753.1  ,      14
 2777.5  ,      16
 2802.0  ,      19
 2826.4  ,      16
 2850.9  ,      17
 2875.3  ,      18
 2899.8  ,      33
 2924.2  ,      41
 2948.7  ,      40
 2973.1  ,      27
 2997.6  ,      24
 3022.0  ,      18
 3046.5  ,      10
 3070.9  ,      13
 3095.4  ,      11
 3119.8  ,       7
 3144.3  ,      16
 3168.7  ,      15
 3193.2  ,      14
 3217.6  ,      20
 3242.0  ,      37
 3266.5  ,      44
 3290.9  ,      54
 3315.4  ,      32
 3339.8  ,      35
 3364.3  ,      24
 3388.7  ,      20
 3413.2  ,      17
 3437.6  ,      15
 3462.1  ,      16
 3486.5  ,      22
 3511.0  ,      21
 3535.4  ,      25
 3559.9  ,      34
 3584.3  ,      90
 3608.8  ,     159
 3633.2  ,     216
 3657.7  ,     275
 3682.1  ,     261
 3706.5  ,     274
 3731.0  ,     163
 3755.4  ,     102
 3779.9  ,      50
 3804.3  ,      27
 3828.8  ,      20
 3853.2  ,       9
 3877.7  ,      20
 3902.1  ,      18
 3926.6  ,      30
 3951.0  ,      34
 3975.5  ,      41
 3999.9  ,      43
 4024.4  ,      46
 4048.8  ,      25
 4073.3  ,      19
 4097.7  ,      17
 4122.1  ,       8
 4146.6  ,      11
 4171.0  ,      13
 4195.5  ,      11
 4219.9  ,       7
 4244.4  ,       2
 4268.8  ,       5
 4293.3  ,       9
 4317.7  ,       5
 4342.2  ,       9
 4366.6  ,       8
 4391.1  ,      13
 4415.5  ,      22
 4440.0  ,      27
 4464.4  ,      29
 4488.9  ,      47
 4513.3  ,      30
 4537.8  ,      30
 4562.2  ,      26
 4586.6  ,      15
 4611.1  ,      12
 4635.5  ,      16
 4660.0  ,      17
 4684.4  ,      11
 4708.9  ,      13
 4733.3  ,      14
 4757.8  ,       5
 4782.2  ,       6
 4806.7  ,      12
 4831.1  ,      11
 4855.6  ,      10
 4880.0  ,      10
 4904.5  ,      11
 4928.9  ,      15
 4953.4  ,       8
 4977.8  ,      11
 5002.3  ,      13
 5026.7  ,       8
 5051.1  ,       4
 5075.6  ,       7
 5100.0  ,      12
 5124.5  ,       4
 5148.9  ,      13
 5173.4  ,      12
 5197.8  ,       9
 5222.3  ,      11
 5246.7  ,      12
 5271.2  ,      12
 5295.6  ,      18
 5320.1  ,       7
 5344.5  ,      21
 5369.0  ,      19
 5393.4  ,      15
 5417.9  ,      19
 5442.3  ,      18
 5466.8  ,      13
 5491.2  ,      10
 5515.6  ,      10
 5540.1  ,      10
 5564.5  ,      12
 5589.0  ,       6
 5613.4  ,       7
 5637.9  ,      14
 5662.3  ,       8
 5686.8  ,      11
 5711.2  ,      12
 5735.7  ,      16
 5760.1  ,      10
 5784.6  ,      17
 5809.0  ,      17
 5833.5  ,      25
 5857.9  ,      23
 5882.4  ,      27
 5906.8  ,      28
 5931.3  ,      23
 5955.7  ,      16
 5980.1  ,      27
 6004.6  ,      21
 6029.0  ,      17
 6053.5  ,      19
 6077.9  ,      23
 6102.4  ,      16
 6126.8  ,      24
 6151.3  ,      25
 6175.7  ,      30
 6200.2  ,      63
 6224.6  ,     102
 6249.1  ,     239
 6273.5  ,     387
 6298.0  ,     697
 6322.4  ,     957
 6346.9  ,    1276
 6371.3  ,    1448
 6395.7  ,    1390
 6420.2  ,    1115
 6444.6  ,     860
 6469.1  ,     551
 6493.5  ,     275
 6518.0  ,     128
 6542.4  ,      57
 6566.9  ,      26
 6591.3  ,      11
 6615.8  ,      10
 6640.2  ,       9
 6664.7  ,       7
 6689.1  ,       8
 6713.6  ,       8
 6738.0  ,       8
 6762.5  ,       7
 6786.9  ,      16
 6811.4  ,      12
 6835.8  ,      16
 6860.2  ,      28
 6884.7  ,      41
 6909.1  ,      56
 6933.6  ,      68
 6958.0  ,     128
 6982.5  ,     190
 7006.9  ,     222
 7031.4  ,     235
 7055.8  ,     211
 7080.3  ,     181
 7104.7  ,     139
 7129.2  ,      63
 7153.6  ,      68
 7178.1  ,      36
 7202.5  ,      19
 7227.0  ,       3
 7251.4  ,       5
 7275.9  ,       4
 7300.3  ,       5
 7324.7  ,       6
 7349.2  ,       8
 7373.6  ,       7
 7398.1  ,      15
 7422.5  ,      10
 7447.0  ,      11
 7471.4  ,      14
 7495.9  ,      19
 7520.3  ,      14
 7544.8  ,      11
 7569.2  ,       8
 7593.7  ,       6
 7618.1  ,       4
 7642.6  ,       4
 7667.0  ,       3
 7691.5  ,       5
 7715.9  ,       6
 7740.4  ,       8
 7764.8  ,       5
 7789.2  ,       5
 7813.7  ,       6
 7838.1  ,       8
 7862.6  ,       6
 7887.0  ,       5
 7911.5  ,       4
 7935.9  ,       8
 7960.4  ,       6
 7984.8  ,       6
 8009.3  ,       3
 8033.7  ,      10
 8058.2  ,       6
 8082.6  ,       3
 8107.1  ,       5
 8131.5  ,      10
 8156.0  ,       8
 8180.4  ,       4
 8204.9  ,       3
 8229.3  ,       2
 8253.7  ,       7
 8278.2  ,       4
 8302.6  ,       7
 8327.1  ,       2
 8351.5  ,       9
 8376.0  ,       5
 8400.4  ,       4
 8424.9  ,       4
 8449.3  ,       9
 8473.8  ,       8
 8498.2  ,       3
 8522.7  ,      11
 8547.1  ,      15
 8571.6  ,      14
 8596.0  ,      21
 8620.5  ,      24
 8644.9  ,      22
 8669.3  ,      19
 8693.8  ,      19
 8718.2  ,       6
 8742.7  ,       8
 8767.1  ,       5
 8791.6  ,       8
 8816.0  ,       5
 8840.5  ,       8
 8864.9  ,       4
 8889.4  ,       9
 8913.8  ,       6
 8938.3  ,       4
 8962.7  ,       9
 8987.2  ,       3
 9011.6  ,       7
 9036.1  ,       6
 9060.5  ,       3
 9085.0  ,       7
 9109.4  ,       7
 9133.8  ,       4
 9158.3  ,       3
 9182.7  ,       2
 9207.2  ,       7
 9231.6  ,       7
 9256.1  ,       5
 9280.5  ,       6
 9305.0  ,       4
 9329.4  ,       4
 9353.9  ,       3
 9378.3  ,       5
 9402.8  ,       3
 9427.2  ,       5
 9451.7  ,       7
 9476.1  ,       9
 9500.6  ,       4
 9525.0  ,       7
 9549.5  ,       2
 9573.9  ,       9
 9598.3  ,       9
 9622.8  ,       3
 9647.2  ,       6
 9671.7  ,       8
 9696.1  ,       5
 9720.6  ,       3
 9745.0  ,       4
 9769.5  ,       8
 9793.9  ,       7
 9818.4  ,       5
 9842.8  ,       8
 9867.3  ,       5
 9891.7  ,       6
 9916.2  ,       6
 9940.6  ,       5
 9965.1  ,       7
 9989.5  ,       4
10014.0  ,       2
10038.4  ,       2
10062.8  ,       4
10087.3  ,       0
10111.7  ,       4
10136.2  ,       4
10160.6  ,       3
10185.1  ,       5
10209.5  ,       5
10234.0  ,       4
10258.4  ,       0
10282.9  ,       9
10307.3  ,       4
10331.8  ,       3
10356.2  ,       2
10380.7  ,       5
10405.1  ,       6
10429.6  ,       4
10454.0  ,       4
10478.5  ,       2
10502.9  ,       1
10527.3  ,       5
10551.8  ,       9
10576.2  ,       4
10600.7  ,       6
10625.1  ,       4
10649.6  ,       2
10674.0  ,       7
10698.5  ,       5
10722.9  ,       5
10747.4  ,       8
10771.8  ,       4
10796.3  ,       5
10820.7  ,       4
10845.2  ,       4
10869.6  ,       4
10894.1  ,       7
10918.5  ,       2
10942.9  ,       7
10967.4  ,       2
10991.8  ,       2
11016.3  ,       5
11040.7  ,       3
11065.2  ,       6
11089.6  ,       4
11114.1  ,       5
11138.5  ,       4
11163.0  ,       6
11187.4  ,       9
11211.9  ,       6
11236.3  ,       6
11260.8  ,       5
11285.2  ,       6
11309.7  ,       7
11334.1  ,       5
11358.6  ,       5
11383.0  ,       4
11407.4  ,       6
11431.9  ,       6
11456.3  ,       5
11480.8  ,       4
11505.2  ,       5
11529.7  ,       5
11554.1  ,       6
11578.6  ,       5
11603.0  ,       4
11627.5  ,       6
11651.9  ,       4
11676.4  ,       7
11700.8  ,      17
11725.3  ,      11
11749.7  ,      10
11774.2  ,      12
11798.6  ,      16
11823.1  ,      20
11847.5  ,      15
11871.9  ,      12
11896.4  ,      24
11920.8  ,      15
11945.3  ,      18
11969.7  ,      13
11994.2  ,      17
12018.6  ,      14
12043.1  ,      10
12067.5  ,      14
12092.0  ,      10
12116.4  ,       7
12140.9  ,       7
12165.3  ,       6
12189.8  ,       6
12214.2  ,       7
