"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.42    ,  0.14  
MgO     ,  8.37    ,  0.25  
Al2O3   ,  7.90    ,  0.19  
SiO2    , 39.87    ,  0.43  
P2O5    ,  0.90    ,  0.05  
SO3     ,  7.17    ,  0.08  
Cl      ,  1.11    ,  0.02  
K2O     ,  1.23    ,  0.05  
CaO     ,  6.37    ,  0.07  
TiO2    ,  0.91    ,  0.03  
Cr2O3   ,  0.62    ,  0.01  
MnO     ,  0.41    ,  0.01  
FeO     , 22.43    ,  0.26  
Ni      ,  0.0339  ,  0.0020
Zn      ,  0.1343  ,  0.0045
Br      ,  0.0619  ,  0.0020
