"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.48    ,  0.14  
MgO     ,  7.56    ,  0.17  
Al2O3   ,  8.78    ,  0.19  
SiO2    , 46.39    ,  0.54  
P2O5    ,  0.84    ,  0.05  
SO3     ,  5.44    ,  0.08  
Cl      ,  1.60    ,  0.02  
K2O     ,  0.82    ,  0.04  
CaO     ,  4.36    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.34    ,  0.01  
MnO     ,  0.22    ,  0.01  
FeO     , 19.61    ,  0.26  
Ni      ,  0.0848  ,  0.0045
Zn      ,  0.2034  ,  0.0065
Br      ,  0.0793  ,  0.0025
