"Target: Costello, Contains DAT files: APA_408946543ESC01290051576_______M2.DAT,APA_408948028ESC01290051576_______M2.DAT"
 6395.0  ,   17986
 6419.5  ,   17280
 6444.0  ,   15999
 6468.4  ,   13820
 6492.9  ,   12238
 6517.4  ,    9564
 6541.9  ,    7478
 6566.4  ,    5597
 6590.9  ,    3940
 6615.3  ,    2661
 6639.8  ,    1794
 6664.3  ,    1260
 6688.8  ,     805
 6713.3  ,     614
 6737.8  ,     496
 6762.2  ,     464
 6786.7  ,     518
 6811.2  ,     697
 6835.7  ,     835
 6860.2  ,    1071
 6884.7  ,    1429
 6909.1  ,    1725
 6933.6  ,    2063
 6958.1  ,    2323
 6982.6  ,    2751
 7007.1  ,    2902
 7031.6  ,    2903
 7056.0  ,    2916
 7080.5  ,    2874
 7105.0  ,    2591
 7129.5  ,    2230
 7154.0  ,    1948
 7178.5  ,    1483
 7202.9  ,    1230
 7227.4  ,     922
 7251.9  ,     641
 7276.4  ,     486
 7300.9  ,     362
 7325.4  ,     229
 7349.8  ,     176
 7374.3  ,     154
 7398.8  ,     129
 7423.3  ,     108
 7447.8  ,     103
 7472.3  ,     116
 7496.7  ,      92
 7521.2  ,      91
 7545.7  ,      75
 7570.2  ,      76
 7594.7  ,      68
 7619.2  ,      63
 7643.6  ,      74
 7668.1  ,      49
 7692.6  ,      52
 7717.1  ,      47
 7741.6  ,      37
 7766.0  ,      47
 7790.5  ,      38
 7815.0  ,      39
 7839.5  ,      41
 7864.0  ,      37
 7888.5  ,      50
 7912.9  ,      46
 7937.4  ,      33
 7961.9  ,      37
 7986.4  ,      44
 8010.9  ,      46
 8035.4  ,      47
 8059.8  ,      58
 8084.3  ,      44
 8108.8  ,      59
 8133.3  ,      46
 8157.8  ,      48
 8182.3  ,      47
 8206.7  ,      53
 8231.2  ,      62
 8255.7  ,      48
 8280.2  ,      57
 8304.7  ,      47
 8329.2  ,      53
 8353.6  ,      57
 8378.1  ,      77
 8402.6  ,      89
 8427.1  ,     111
 8451.6  ,     104
 8476.1  ,     161
 8500.5  ,     155
 8525.0  ,     161
 8549.5  ,     180
 8574.0  ,     189
 8598.5  ,     257
 8623.0  ,     213
 8647.4  ,     216
 8671.9  ,     183
 8696.4  ,     168
 8720.9  ,     178
 8745.4  ,     162
 8769.9  ,     135
 8794.3  ,     113
 8818.8  ,      71
 8843.3  ,      62
 8867.8  ,      35
 8892.3  ,      45
 8916.7  ,      52
 8941.2  ,      36
 8965.7  ,      32
 8990.2  ,      52
 9014.7  ,      35
 9039.2  ,      30
 9063.6  ,      32
 9088.1  ,      39
 9112.6  ,      29
 9137.1  ,      38
 9161.6  ,      38
 9186.1  ,      41
 9210.5  ,      41
 9235.0  ,      49
 9259.5  ,      32
 9284.0  ,      45
 9308.5  ,      39
 9333.0  ,      66
 9357.4  ,      43
 9381.9  ,      50
 9406.4  ,      51
 9430.9  ,      35
 9455.4  ,      32
 9479.9  ,      62
 9504.3  ,      61
 9528.8  ,      61
 9553.3  ,      60
 9577.8  ,      66
 9602.3  ,      50
 9626.8  ,      73
 9651.2  ,      66
 9675.7  ,      71
 9700.2  ,      61
 9724.7  ,      42
 9749.2  ,      67
 9773.7  ,      72
 9798.1  ,      74
 9822.6  ,      52
