"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  1.90    ,  0.34  
MgO     ,  6.93    ,  0.41  
Al2O3   ,  8.39    ,  0.47  
SiO2    , 42.47    ,  0.86  
P2O5    ,  0.71    ,  0.23  
SO3     ,  6.05    ,  0.62  
Cl      ,  1.22    ,  0.13  
K2O     ,  0.56    ,  0.06  
CaO     ,  6.65    ,  0.67  
TiO2    ,  1.41    ,  0.15  
Cr2O3   ,  0.36    ,  0.04  
MnO     ,  0.39    ,  0.13  
FeO     , 22.64    ,  1.61  
Ni      ,  0.0362  ,  0.0045
Zn      ,  0.0658  ,  0.0070
Br      ,  0.0176  ,  0.0020
