"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.66    ,  0.14  
MgO     ,  5.16    ,  0.17  
Al2O3   ,  9.51    ,  0.29  
SiO2    , 50.30    ,  0.54  
P2O5    ,  0.71    ,  0.05  
SO3     ,  7.83    ,  0.10  
Cl      ,  1.30    ,  0.02  
K2O     ,  0.91    ,  0.04  
CaO     ,  4.94    ,  0.06  
TiO2    ,  0.94    ,  0.03  
Cr2O3   ,  0.31    ,  0.01  
MnO     ,  0.14    ,  0.01  
FeO     , 14.93    ,  0.20  
Ni      ,  0.1075  ,  0.0055
Zn      ,  0.1002  ,  0.0035
Br      ,  0.0102  ,  0.0005
