"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.64    ,  0.14  
MgO     ,  4.78    ,  0.17  
Al2O3   ,  9.23    ,  0.19  
SiO2    , 49.01    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  3.65    ,  0.08  
Cl      ,  1.34    ,  0.03  
K2O     ,  1.17    ,  0.04  
CaO     ,  2.93    ,  0.04  
TiO2    ,  1.14    ,  0.05  
Cr2O3   ,  0.32    ,  0.01  
MnO     ,  0.10    ,  0.01  
FeO     , 22.67    ,  0.26  
Ni      ,  0.0770  ,  0.0040
Zn      ,  0.0709  ,  0.0025
Br      ,  0.0254  ,  0.0010
