"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.66    ,  0.14  
MgO     ,  5.23    ,  0.17  
Al2O3   , 10.12    ,  0.29  
SiO2    , 52.07    ,  0.64  
P2O5    ,  0.74    ,  0.05  
SO3     ,  6.96    ,  0.15  
Cl      ,  1.23    ,  0.04  
K2O     ,  0.90    ,  0.04  
CaO     ,  4.53    ,  0.06  
TiO2    ,  0.95    ,  0.03  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.15    ,  0.01  
FeO     , 13.88    ,  0.20  
Ni      ,  0.0904  ,  0.0050
Zn      ,  0.1110  ,  0.0035
Br      ,  0.0114  ,  0.0010
