"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.34    ,  0.14  
MgO     ,  5.10    ,  0.17  
Al2O3   ,  8.73    ,  0.19  
SiO2    , 46.17    ,  0.54  
P2O5    ,  1.21    ,  0.07  
SO3     ,  8.57    ,  0.10  
Cl      ,  1.31    ,  0.02  
K2O     ,  0.93    ,  0.04  
CaO     ,  5.53    ,  0.06  
TiO2    ,  1.02    ,  0.03  
Cr2O3   ,  0.27    ,  0.01  
MnO     ,  0.19    ,  0.01  
FeO     , 18.20    ,  0.20  
Ni      ,  0.1067  ,  0.0055
Zn      ,  0.1915  ,  0.0060
Br      ,  0.0241  ,  0.0010
