"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.69    ,  0.14  
MgO     ,  4.76    ,  0.17  
Al2O3   , 12.41    ,  0.29  
SiO2    , 50.88    ,  0.64  
P2O5    ,  1.35    ,  0.07  
SO3     ,  6.20    ,  0.15  
Cl      ,  0.64    ,  0.04  
K2O     ,  0.68    ,  0.02  
CaO     ,  4.27    ,  0.07  
TiO2    ,  1.04    ,  0.05  
Cr2O3   ,  0.38    ,  0.03  
MnO     ,  0.33    ,  0.03  
FeO     , 13.94    ,  0.20  
Ni      ,  0.0887  ,  0.0045
Zn      ,  0.1699  ,  0.0055
Br      ,  0.0080  ,  0.0010
