"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.17    ,  0.14  
MgO     ,  3.98    ,  0.08  
Al2O3   ,  8.74    ,  0.19  
SiO2    , 49.29    ,  0.54  
P2O5    ,  1.17    ,  0.07  
SO3     ,  6.44    ,  0.10  
Cl      ,  0.59    ,  0.02  
K2O     ,  0.88    ,  0.04  
CaO     ,  4.86    ,  0.06  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.33    ,  0.01  
MnO     ,  0.24    ,  0.01  
FeO     , 19.86    ,  0.26  
Ni      ,  0.1039  ,  0.0055
Zn      ,  0.1259  ,  0.0040
Br      ,  0.0148  ,  0.0005
