"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.35    ,  0.14  
MgO     ,  6.16    ,  0.17  
Al2O3   ,  8.64    ,  0.19  
SiO2    , 47.39    ,  0.54  
P2O5    ,  1.05    ,  0.07  
SO3     ,  6.56    ,  0.10  
Cl      ,  1.31    ,  0.03  
K2O     ,  1.04    ,  0.04  
CaO     ,  4.61    ,  0.06  
TiO2    ,  1.17    ,  0.05  
Cr2O3   ,  0.36    ,  0.01  
MnO     ,  0.17    ,  0.01  
FeO     , 18.80    ,  0.20  
Ni      ,  0.0907  ,  0.0050
Zn      ,  0.1348  ,  0.0045
Br      ,  0.0831  ,  0.0025
