"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.56    ,  0.14  
MgO     , 10.12    ,  0.25  
Al2O3   ,  8.79    ,  0.19  
SiO2    , 44.61    ,  0.54  
P2O5    ,  0.76    ,  0.05  
SO3     ,  4.90    ,  0.08  
Cl      ,  1.33    ,  0.02  
K2O     ,  0.31    ,  0.01  
CaO     ,  5.51    ,  0.06  
TiO2    ,  0.87    ,  0.03  
Cr2O3   ,  0.41    ,  0.01  
MnO     ,  0.32    ,  0.01  
FeO     , 19.36    ,  0.26  
Ni      ,  0.0456  ,  0.0025
Zn      ,  0.0325  ,  0.0010
Br      ,  0.0192  ,  0.0010
