"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  3.30    ,  0.14  
MgO     ,  8.19    ,  0.17  
Al2O3   ,  9.32    ,  0.19  
SiO2    , 43.39    ,  0.54  
P2O5    ,  0.73    ,  0.05  
SO3     ,  4.57    ,  0.08  
Cl      ,  0.72    ,  0.02  
K2O     ,  0.84    ,  0.04  
CaO     ,  6.92    ,  0.07  
TiO2    ,  0.80    ,  0.03  
Cr2O3   ,  0.73    ,  0.01  
MnO     ,  0.44    ,  0.01  
FeO     , 19.93    ,  0.26  
Ni      ,  0.0280  ,  0.0015
Zn      ,  0.0406  ,  0.0015
Br      ,  0.0039  ,  0.0005
