"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.38    ,  0.20  
MgO     ,  6.45    ,  0.25  
Al2O3   ,  8.58    ,  0.29  
SiO2    , 46.37    ,  0.75  
P2O5    ,  0.84    ,  0.07  
SO3     ,  6.46    ,  0.20  
Cl      ,  1.53    ,  0.07  
K2O     ,  0.88    ,  0.04  
CaO     ,  4.32    ,  0.10  
TiO2    ,  1.08    ,  0.09  
Cr2O3   ,  0.33    ,  0.05  
MnO     ,  0.25    ,  0.03  
FeO     , 19.94    ,  0.26  
Ni      ,  0.0985  ,  0.0070
Zn      ,  0.1504  ,  0.0055
Br      ,  0.0471  ,  0.0020
