"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.20    ,  0.07  
MgO     ,  4.17    ,  0.17  
Al2O3   ,  4.11    ,  0.10  
SiO2    , 62.07    ,  0.64  
P2O5    ,  2.28    ,  0.12  
SO3     , 11.04    ,  0.12  
Cl      ,  0.98    ,  0.02  
K2O     ,  0.42    ,  0.02  
CaO     ,  5.23    ,  0.06  
TiO2    ,  1.48    ,  0.05  
Cr2O3   ,  0.10    ,  0.01  
MnO     ,  0.01    ,  0.04  
FeO     ,  5.65    ,  0.07  
Ni      ,  0.0048  ,  0.0025
Zn      ,  0.0033  ,  0.0025
Br      ,  0.0546  ,  0.0020
