"oxide",  "APXS analysis ver 1","statistical uncertainty (precision)"
Na2O    ,  2.15    ,  0.07  
MgO     ,  6.65    ,  0.17  
Al2O3   ,  8.10    ,  0.19  
SiO2    , 41.90    ,  0.43  
P2O5    ,  0.79    ,  0.05  
SO3     ,  6.12    ,  0.07  
Cl      ,  1.04    ,  0.02  
K2O     ,  0.50    ,  0.02  
CaO     ,  6.77    ,  0.07  
TiO2    ,  1.27    ,  0.05  
Cr2O3   ,  0.40    ,  0.01  
MnO     ,  0.39    ,  0.01  
FeO     , 23.63    ,  0.26  
Ni      ,  0.0322  ,  0.0020
Zn      ,  0.0660  ,  0.0020
Br      ,  0.0303  ,  0.0010
