"Target: Flaherty, Contains DAT files: APA_408992063ESC01300051576_______M2.DAT"
 7008.6  ,   37517
 7033.1  ,   41285
 7057.5  ,   40368
 7081.9  ,   34168
 7106.3  ,   25840
 7130.8  ,   17162
 7155.2  ,    9883
 7179.6  ,    5208
 7204.1  ,    2566
 7228.5  ,    1241
 7252.9  ,     708
 7277.3  ,     442
 7301.8  ,     438
 7326.2  ,     428
 7350.6  ,     511
 7375.0  ,     679
 7399.5  ,     782
 7423.9  ,     952
 7448.3  ,    1026
 7472.7  ,     941
 7497.2  ,     881
 7521.6  ,     805
 7546.0  ,     577
 7570.4  ,     469
 7594.9  ,     360
 7619.3  ,     323
 7643.7  ,     330
 7668.1  ,     304
 7692.6  ,     297
 7717.0  ,     260
 7741.4  ,     290
 7765.8  ,     326
 7790.3  ,     336
 7814.7  ,     306
 7839.1  ,     315
 7863.5  ,     343
 7888.0  ,     349
 7912.4  ,     340
 7936.8  ,     351
 7961.2  ,     365
 7985.7  ,     380
 8010.1  ,     352
 8034.5  ,     370
 8059.0  ,     344
 8083.4  ,     333
 8107.8  ,     372
 8132.2  ,     374
 8156.7  ,     402
 8181.1  ,     365
 8205.5  ,     361
 8229.9  ,     362
 8254.4  ,     340
 8278.8  ,     407
 8303.2  ,     337
 8327.6  ,     370
 8352.1  ,     357
 8376.5  ,     332
 8400.9  ,     319
 8425.3  ,     346
 8449.8  ,     440
 8474.2  ,     650
 8498.6  ,     948
 8523.0  ,    1276
 8547.5  ,    1751
 8571.9  ,    2223
 8596.3  ,    2477
 8620.7  ,    2590
 8645.2  ,    2489
 8669.6  ,    2055
 8694.0  ,    1582
 8718.4  ,    1135
 8742.9  ,     792
 8767.3  ,     516
 8791.7  ,     374
 8816.1  ,     331
 8840.6  ,     291
 8865.0  ,     252
 8889.4  ,     287
 8913.9  ,     256
 8938.3  ,     268
 8962.7  ,     292
 8987.1  ,     283
 9011.6  ,     269
 9036.0  ,     253
 9060.4  ,     276
 9084.8  ,     285
 9109.3  ,     279
 9133.7  ,     301
 9158.1  ,     297
 9182.5  ,     336
 9207.0  ,     343
 9231.4  ,     338
 9255.8  ,     363
 9280.2  ,     335
 9304.7  ,     314
 9329.1  ,     314
 9353.5  ,     286
 9377.9  ,     302
 9402.4  ,     325
 9426.8  ,     368
 9451.2  ,     372
 9475.6  ,     461
 9500.1  ,     519
 9524.5  ,     558
 9548.9  ,     641
 9573.3  ,     627
 9597.8  ,     601
 9622.2  ,     560
 9646.6  ,     520
 9671.1  ,     413
 9695.5  ,     419
 9719.9  ,     347
 9744.3  ,     367
 9768.8  ,     396
 9793.2  ,     442
 9817.6  ,     472
 9842.0  ,     542
 9866.5  ,     560
 9890.9  ,     544
 9915.3  ,     492
 9939.7  ,     434
 9964.2  ,     355
 9988.6  ,     330
10013.0  ,     277
10037.4  ,     270
10061.9  ,     241
10086.3  ,     228
10110.7  ,     253
10135.1  ,     248
10159.6  ,     246
10184.0  ,     240
10208.4  ,     229
10232.8  ,     271
10257.3  ,     235
10281.7  ,     278
10306.1  ,     259
10330.5  ,     251
10355.0  ,     236
10379.4  ,     269
10403.8  ,     287
10428.2  ,     282
10452.7  ,     280
10477.1  ,     296
10501.5  ,     321
10526.0  ,     310
10550.4  ,     290
10574.8  ,     294
10599.2  ,     287
10623.7  ,     282
10648.1  ,     244
10672.5  ,     245
10696.9  ,     267
10721.4  ,     277
10745.8  ,     264
10770.2  ,     278
10794.6  ,     247
10819.1  ,     246
10843.5  ,     265
10867.9  ,     271
10892.3  ,     282
10916.8  ,     295
10941.2  ,     291
10965.6  ,     315
10990.0  ,     329
11014.5  ,     306
11038.9  ,     294
11063.3  ,     291
11087.7  ,     281
11112.2  ,     293
11136.6  ,     343
11161.0  ,     314
11185.4  ,     306
11209.9  ,     352
11234.3  ,     315
11258.7  ,     331
11283.1  ,     360
11307.6  ,     337
11332.0  ,     339
11356.4  ,     328
11380.9  ,     356
11405.3  ,     388
11429.7  ,     390
11454.1  ,     417
11478.6  ,     475
11503.0  ,     483
11527.4  ,     466
11551.8  ,     491
11576.3  ,     509
11600.7  ,     543
11625.1  ,     503
11649.5  ,     542
11674.0  ,     580
11698.4  ,     645
11722.8  ,     740
11747.2  ,     893
11771.7  ,    1106
11796.1  ,    1527
11820.5  ,    1928
11844.9  ,    2335
11869.4  ,    2538
11893.8  ,    2676
11918.2  ,    2509
11942.6  ,    2438
11967.1  ,    2114
11991.5  ,    1782
12015.9  ,    1516
12040.3  ,    1209
12064.8  ,    1089
12089.2  ,     995
12113.6  ,     915
12138.0  ,     856
12162.5  ,     773
12186.9  ,     676
12211.3  ,     642
12235.8  ,     560
12260.2  ,     586
12284.6  ,     458
12309.0  ,     427
12333.5  ,     412
12357.9  ,     415
12382.3  ,     376
12406.7  ,     427
12431.2  ,     414
