"oxide",  "APXS analysis ver 2","statistical uncertainty (precision)"
Na2O    ,  2.28    ,  0.14  
MgO     ,  4.49    ,  0.17  
Al2O3   ,  8.39    ,  0.19  
SiO2    , 46.10    ,  0.54  
P2O5    ,  1.11    ,  0.07  
SO3     ,  7.74    ,  0.20  
Cl      ,  0.66    ,  0.05  
K2O     ,  0.80    ,  0.04  
CaO     ,  5.74    ,  0.10  
TiO2    ,  1.12    ,  0.05  
Cr2O3   ,  0.29    ,  0.03  
MnO     ,  0.20    ,  0.03  
FeO     , 20.76    ,  0.26  
Ni      ,  0.1013  ,  0.0070
Zn      ,  0.0937  ,  0.0045
Br      ,  0.0222  ,  0.0020
